# omega_THz  Jin_native  Jout_native  Jsum_native  G_native_eV_ps^-1_THz^-1_A^-2_K^-1  G_native_smoothed_eV_ps^-1_THz^-1_A^-2_K^-1  G_paper_MW_m^-2_K^-1_THz^-1  G_paper_smoothed_MW_m^-2_K^-1_THz^-1  cumulative_integral_native
1.018591635788130167e+00 -2.474029999999999892e-03 -1.139219999999999979e-04 -2.587951999999999701e-03 -1.702667656508839591e-08 2.060624560828064395e-07 -2.727974334726001038e-01 3.301484522805236299e+00 2.719702047560090579e-07
1.031324031235481886e+00 -6.287440000000000043e-03 -5.410700000000000058e-03 -1.169813999999999923e-02 -7.696450559868311775e-08 1.999045088356715663e-07 -1.233107325175722746e+00 3.202823330877595076e+00 2.745546707239606811e-07
1.044056426682833383e+00 -8.876900000000000068e-03 -8.837710000000000357e-03 -1.771460999999999869e-02 -1.165481179506731789e-07 1.934125737065073746e-07 -1.867306713172445232e+00 3.098811063143688926e+00 2.770586050395234997e-07
1.056788822130185101e+00 -9.933000000000000856e-03 -9.716330000000000452e-03 -1.964932999999999957e-02 -1.292770447947598716e-07 1.870030343643611629e-07 -2.071246604827356119e+00 2.996118921456785156e+00 2.794804060176750388e-07
1.069521217577536598e+00 -9.472660000000000802e-03 -7.869650000000000603e-03 -1.734230999999999967e-02 -1.140986785154817968e-07 1.810582688646305317e-07 -1.828062366877827305e+00 2.900873277674007600e+00 2.818235570484645822e-07
1.082253613024888317e+00 -7.781220000000000150e-03 -3.645910000000000036e-03 -1.142713000000000062e-02 -7.518147422255845174e-08 1.758489254709508161e-07 -1.204540013090564576e+00 2.817410395035648385e+00 2.840956988166072803e-07
1.094986008472240036e+00 -5.290800000000000017e-03 2.189850000000000130e-03 -3.100949999999999887e-03 -2.040179751962589197e-08 1.714900597187987612e-07 -3.268728327754376051e-01 2.747573666447239660e+00 2.863069274734661627e-07
1.107718403919591532e+00 -2.446770000000000021e-03 8.664830000000000101e-03 6.218060000000000080e-03 4.090991505341427130e-08 1.679445000051193336e-07 6.554490999750520741e-01 2.690767537170150714e+00 2.884678349949174546e-07
1.120450799366943251e+00 3.868599999999999925e-04 1.484859999999999999e-02 1.523545999999999928e-02 1.002372724611359400e-07 1.650710629956688821e-07 1.605978157931236661e+00 2.644730000812027360e+00 2.905878779140417088e-07
1.133183194814294747e+00 2.954819999999999929e-03 2.007290000000000116e-02 2.302772000000000152e-02 1.515041780030763328e-07 1.627004665747450386e-07 2.427364539499056839e+00 2.606748858869545327e+00 2.926745362794786032e-07
1.145915590261646466e+00 5.076650000000000260e-03 2.406120000000000134e-02 2.913784999999999986e-02 1.917039990510105776e-07 1.607123918398333316e-07 3.071436679238872980e+00 2.574896390000332325e+00 2.947334464825249704e-07
1.158647985708998185e+00 6.588069999999999690e-03 2.693289999999999920e-02 3.352096999999999716e-02 2.205414607141211069e-07 1.590874718241927452e-07 3.533463751843938017e+00 2.548862301188549839e+00 2.967693556466147538e-07
1.171380381156349682e+00 7.307379999999999605e-03 2.908890000000000087e-02 3.639628000000000307e-02 2.394587255607505634e-07 1.579178413971593798e-07 3.836551749008530798e+00 2.530122755782466815e+00 2.987874741500376322e-07
1.184112776603701400e+00 7.064439999999999956e-03 3.101730000000000112e-02 3.808174000000000281e-02 2.505477188200513057e-07 1.573754291843405338e-07 4.014217007954882455e+00 2.521432354048720903e+00 3.007946934515038841e-07
1.196845172051052897e+00 5.796530000000000259e-03 3.308490000000000042e-02 3.888143000000000155e-02 2.558090463030709223e-07 1.576523684688947543e-07 4.098512767526043099e+00 2.525869410556215389e+00 3.028002226998185114e-07
1.209577567498404616e+00 3.674859999999999845e-03 3.538140000000000035e-02 3.905626000000000236e-02 2.569592893770825057e-07 1.588970834213391291e-07 4.116941693292059945e+00 2.545811942684183204e+00 3.048154390998729379e-07
1.222309962945756112e+00 1.196510000000000021e-03 3.766590000000000216e-02 3.886241000000000001e-02 2.556839097517484797e-07 1.611689701193805878e-07 4.096507858940161562e+00 2.582211580511157845e+00 3.068530428813497410e-07
1.235042358393107831e+00 -8.249019999999999703e-04 3.943569999999999715e-02 3.861079799999999479e-02 2.540285018678715137e-07 1.644254356919152557e-07 4.069985300627291025e+00 2.634385911008562342e+00 3.089258412464672137e-07
