#Distance(A)    Macroscopic-Average    Planar-Average
 22.3174            -2.43137             3.41933
 22.3696            -2.27886             2.92115
 22.4217            -2.12836             2.30015
 22.4739            -1.98058             1.63747
 22.5260            -1.83623             0.98760
 22.5781            -1.69597             0.39042
 22.6303            -1.56039            -0.15289
 22.6824            -1.43003            -0.61326
 22.7346            -1.30536            -0.99161
 22.7867            -1.18675            -1.30482
 22.8389            -1.07454            -1.55832
 22.8910            -0.96893            -1.75028
 22.9432            -0.87011            -1.87372
 22.9953            -0.77817            -1.91162
 23.0474            -0.69316            -1.84431
 23.0996            -0.61506            -1.65285
 23.1517            -0.54385            -1.33237
 23.2039            -0.47944            -0.89380
 23.2560            -0.42172            -0.37211
 23.3082            -0.37056             0.18120
 23.3603            -0.32581             0.69994
 23.4124            -0.28735             1.12195
 23.4646            -0.25504             1.40347
 23.5167            -0.22878             1.54227
 23.5689            -0.20849             1.55497
 23.6210            -0.19410             1.50769
 23.6732            -0.18556             1.43950
 23.7253            -0.18279             1.34524
 23.7775            -0.18572             1.23536
 23.8296            -0.19426             1.11171
 23.8817            -0.20828             0.98683
 23.9339            -0.22764             0.87220
 23.9860            -0.25213             0.77410
 24.0382            -0.28156             0.69596
 24.0903            -0.31566             0.63958
 24.1425            -0.35417             0.60642
 24.1946            -0.39678             0.59543
 24.2467            -0.44319             0.60522
 24.2989            -0.49305             0.63163
 24.3510            -0.54601             0.67134
 24.4032            -0.60170             0.71612
 24.4553            -0.65975             0.75796
 24.5075            -0.71979             0.79127
 24.5596            -0.78145             0.79476
 24.6117            -0.84440             0.73062
 24.6639            -0.90832             0.57288
 24.7160            -0.97295             0.35597
 24.7682            -1.03803             0.05747
 24.8203            -1.10335            -0.33825
 24.8725            -1.16873            -0.82678
 24.9246            -1.23401            -1.38696
 24.9768            -1.29907            -1.97080
 25.0289            -1.36379            -2.53164
 25.0810            -1.42807            -3.02505
 25.1332            -1.49179            -3.42398
 25.1853            -1.55485            -3.71234
 25.2375            -1.61714            -3.88840
 25.2896            -1.67853            -3.93877
 25.3418            -1.73889            -3.89095
 25.3939            -1.79805            -3.77230
 25.4460            -1.85588            -3.64199
 25.4982            -1.91219            -3.51208
 25.5503            -1.96680            -3.34765
 25.6025            -2.01952            -3.16307
 25.6546            -2.07015            -2.94969
 25.7068            -2.11848            -2.73142
 25.7589            -2.16434            -2.50526
 25.8110            -2.20754            -2.28438
 25.8632            -2.24792            -2.09406
 25.9153            -2.28535            -1.96415
 25.9675            -2.31971            -1.92456
 26.0196            -2.35090            -1.97246
 26.0718            -2.37885            -2.10468
 26.1239            -2.40349            -2.31636
 26.1761            -2.42479            -2.56665
 26.2282            -2.44271            -2.78891
 26.2803            -2.45723            -2.95949
 26.3325            -2.46835            -3.09154
 26.3846            -2.47604            -3.17563
 26.4368            -2.48031            -3.21062
 26.4889            -2.48116            -3.19320
 26.5411            -2.47859            -3.12691
 26.5932            -2.47263            -3.01464
 26.6453            -2.46328            -2.86058
 26.6975            -2.45057            -2.65699
 26.7496            -2.43451            -2.44168
 26.8018            -2.41515            -2.27359
 26.8539            -2.39253            -2.18859
 26.9061            -2.36674            -2.18439
 26.9582            -2.33784            -2.25219
 27.0104            -2.30596            -2.39166
 27.0625            -2.27123            -2.59370
 27.1146            -2.23381            -2.84645
 27.1668            -2.19388            -3.13767
 27.2189            -2.15165            -3.41388
 27.2711            -2.10736            -3.66435
 27.3232            -2.06127            -3.88969
 27.3754            -2.01363            -4.08575
 27.4275            -1.96472            -4.23105
 27.4796            -1.91481            -4.36661
 27.5318            -1.86419            -4.47528
 27.5839            -1.81313            -4.49876
 27.6361            -1.76191            -4.40804
 27.6882            -1.71080            -4.17941
 27.7404            -1.66007            -3.82932
 27.7925            -1.60998            -3.36384
 27.8446            -1.56078            -2.80314
 27.8968            -1.51270            -2.17858
 27.9489            -1.46597            -1.53528
 28.0011            -1.42082            -0.92001
 28.0532            -1.37746            -0.37552
 28.1054            -1.33610             0.07487
 28.1575            -1.29694             0.43972
 28.2097            -1.26019             0.74427
 28.2618            -1.22605             0.99893
 28.3139            -1.19471             1.17013
 28.3661            -1.16637             1.25469
 28.4182            -1.14120             1.30776
 28.4704            -1.11935             1.34634
 28.5225            -1.10098             1.36786
 28.5747            -1.08620             1.37937
 28.6268            -1.07510             1.38832
 28.6789            -1.06776             1.39511
 28.7311            -1.06424             1.40108
 28.7832            -1.06454             1.40568
 28.8354            -1.06867             1.40985
 28.8875            -1.07661             1.41297
 28.9397            -1.08831             1.41203
 28.9918            -1.10369             1.39878
 29.0439            -1.12267             1.36287
 29.0961            -1.14511             1.31660
 29.1482            -1.17089             1.23581
 29.2004            -1.19984             1.07121
 29.2525            -1.23182             0.84686
 29.3047            -1.26662             0.57028
 29.3568            -1.30408             0.21299
 29.4090            -1.34400            -0.25647
 29.4611            -1.38618            -0.82977
 29.5132            -1.43043            -1.47315
 29.5654            -1.47654            -2.13484
 29.6175            -1.52429            -2.76473
 29.6697            -1.57346            -3.31674
 29.7218            -1.62380            -3.76294
 29.7740            -1.67506            -4.08783
 29.8261            -1.72698            -4.28537
 29.8782            -1.77927            -4.35119
 29.9304            -1.83164            -4.31646
 29.9825            -1.88381            -4.21603
 30.0347            -1.93548            -4.10473
 30.0868            -1.98634            -3.96998
 30.1390            -2.03609            -3.79041
 30.1911            -2.08444            -3.57735
 30.2432            -2.13109            -3.33038
 30.2954            -2.17577            -3.04083
 30.3475            -2.21821            -2.74718
 30.3997            -2.25818            -2.48465
 30.4518            -2.29545            -2.26596
 30.5040            -2.32984            -2.11801
 30.5561            -2.36119            -2.05667
 30.6083            -2.38937            -2.09325
 30.6604            -2.41426            -2.21396
 30.7125            -2.43577            -2.40880
 30.7647            -2.45383            -2.63653
