# freq_w_over_2pi_THz  kappa_x_avg_Wm-1K-1THz-1  std_Wm-1K-1THz-1  stderr_Wm-1K-1THz-1
9.04000077e+00 2.01639778e-01 1.02965511e-01 5.14827556e-02
9.07183176e+00 2.01842362e-01 1.08361561e-01 5.41807806e-02
9.10366274e+00 2.01972944e-01 1.13406110e-01 5.67030549e-02
9.13549373e+00 2.02028423e-01 1.18091407e-01 5.90457035e-02
9.16732472e+00 2.02007533e-01 1.22413433e-01 6.12067166e-02
9.19915571e+00 2.01907078e-01 1.26367675e-01 6.31838377e-02
9.23098670e+00 2.01726243e-01 1.29954861e-01 6.49774304e-02
9.26281769e+00 2.01461811e-01 1.33173463e-01 6.65867315e-02
9.29464868e+00 2.01113726e-01 1.36029588e-01 6.80147938e-02
9.32647967e+00 2.00678853e-01 1.38525472e-01 6.92627358e-02
9.35831065e+00 2.00156289e-01 1.40669910e-01 7.03349550e-02
9.39014164e+00 1.99544966e-01 1.42473566e-01 7.12367830e-02
9.42197263e+00 1.98843658e-01 1.43948580e-01 7.19742900e-02
9.45380362e+00 1.98050892e-01 1.45109424e-01 7.25547118e-02
9.48563461e+00 1.97166286e-01 1.45974860e-01 7.29874300e-02
9.51746560e+00 1.96188023e-01 1.46563755e-01 7.32818777e-02
9.54929659e+00 1.95116558e-01 1.46902207e-01 7.34511036e-02
9.58112757e+00 1.93951236e-01 1.47016618e-01 7.35083092e-02
9.61295856e+00 1.92691139e-01 1.46935797e-01 7.34678986e-02
9.64478955e+00 1.91336539e-01 1.46694619e-01 7.33473093e-02
9.67662054e+00 1.89886938e-01 1.46328737e-01 7.31643685e-02
9.70845153e+00 1.88342777e-01 1.45878545e-01 7.29392723e-02
9.74028252e+00 1.86704151e-01 1.45387062e-01 7.26935308e-02
9.77211351e+00 1.84971281e-01 1.44899556e-01 7.24497778e-02
9.80394449e+00 1.83145306e-01 1.44464948e-01 7.22324740e-02
9.83577548e+00 1.81226300e-01 1.44132357e-01 7.20661783e-02
9.86760647e+00 1.79214661e-01 1.43951963e-01 7.19759813e-02
9.89943746e+00 1.77112172e-01 1.43975677e-01 7.19878385e-02
9.93126845e+00 1.74918871e-01 1.44250551e-01 7.21252755e-02
9.96309944e+00 1.72636659e-01 1.44824793e-01 7.24123965e-02
9.99493043e+00 1.70266755e-01 1.45740947e-01 7.28704737e-02
1.00267614e+01 1.67809863e-01 1.47034288e-01 7.35171440e-02
1.00585924e+01 1.65268703e-01 1.48737781e-01 7.43688905e-02
1.00904234e+01 1.62643429e-01 1.50871295e-01 7.54356476e-02
1.01222544e+01 1.59937294e-01 1.53451725e-01 7.67258627e-02
1.01540854e+01 1.57150982e-01 1.56483490e-01 7.82417449e-02
1.01859164e+01 1.54286999e-01 1.59964701e-01 7.99823505e-02
1.02177473e+01 1.51347464e-01 1.63885484e-01 8.19427419e-02
1.02495783e+01 1.48334303e-01 1.68228860e-01 8.41144300e-02
1.02814093e+01 1.45249848e-01 1.72971150e-01 8.64855750e-02
1.03132403e+01 1.42095925e-01 1.78084577e-01 8.90422886e-02
1.03450713e+01 1.38875283e-01 1.83537985e-01 9.17689927e-02
1.03769023e+01 1.35591295e-01 1.89298073e-01 9.46490363e-02
1.04087333e+01 1.32246067e-01 1.95328051e-01 9.76640255e-02
1.04405643e+01 1.28842001e-01 2.01590985e-01 1.00795492e-01
1.04723953e+01 1.25382370e-01 2.08050345e-01 1.04025172e-01
1.05042262e+01 1.21869310e-01 2.14667975e-01 1.07333987e-01
1.05360572e+01 1.18306061e-01 2.21408189e-01 1.10704095e-01
1.05678882e+01 1.14696091e-01 2.28236201e-01 1.14118100e-01
1.05997192e+01 1.11042099e-01 2.35117199e-01 1.17558599e-01
1.06315502e+01 1.07346530e-01 2.42016899e-01 1.21008450e-01
1.06633812e+01 1.03614179e-01 2.48906033e-01 1.24453017e-01
1.06952122e+01 9.98468100e-02 2.55752299e-01 1.27876150e-01
1.07270432e+01 9.60486998e-02 2.62528340e-01 1.31264170e-01
1.07588742e+01 9.22225674e-02 2.69205639e-01 1.34602819e-01
1.07907051e+01 8.83720125e-02 2.75758883e-01 1.37879441e-01
1.08225361e+01 8.45007955e-02 2.82163336e-01 1.41081668e-01
1.08543671e+01 8.06128970e-02 2.88397999e-01 1.44199000e-01
1.08861981e+01 7.67104150e-02 2.94437762e-01 1.47218881e-01
1.09180291e+01 7.27983866e-02 3.00265521e-01 1.50132761e-01
1.09498601e+01 6.88800370e-02 3.05861403e-01 1.52930702e-01
1.09816911e+01 6.49588994e-02 3.11207637e-01 1.55603818e-01
1.10135221e+01 6.10394789e-02 3.16289635e-01 1.58144817e-01
1.10453531e+01 5.71249275e-02 3.21091397e-01 1.60545698e-01
1.10771840e+01 5.32186934e-02 3.25598976e-01 1.62799488e-01
1.11090150e+01 4.93259674e-02 3.29802625e-01 1.64901313e-01
1.11408460e+01 4.54493478e-02 3.33688856e-01 1.66844428e-01
1.11726770e+01 4.15938897e-02 3.37249482e-01 1.68624741e-01
1.12045080e+01 3.77630302e-02 3.40477022e-01 1.70238511e-01
1.12363390e+01 3.39603712e-02 3.43362438e-01 1.71681219e-01
