# freq_w_over_2pi_THz  cumulative_G_paper_MW_m^-2_K^-1
7.6012400821e+00 8.5007216629e+02
7.6139724775e+00 8.5224505377e+02
7.6267048730e+00 8.5441584242e+02
7.6394372684e+00 8.5658406261e+02
7.6521696639e+00 8.5874923826e+02
7.6649020593e+00 8.6091088759e+02
7.6776344548e+00 8.6306852398e+02
7.6903668502e+00 8.6522165682e+02
7.7030992456e+00 8.6736979250e+02
7.7158316411e+00 8.6951243535e+02
7.7285640365e+00 8.7164908878e+02
7.7412964320e+00 8.7377925637e+02
7.7540288274e+00 8.7590244312e+02
7.7667612229e+00 8.7801815668e+02
7.7794936183e+00 8.8012590881e+02
7.7922260138e+00 8.8222521674e+02
7.8049584092e+00 8.8431560472e+02
7.8176908047e+00 8.8639660555e+02
7.8304232001e+00 8.8846776213e+02
7.8431555956e+00 8.9052862919e+02
7.8558879910e+00 8.9257877489e+02
7.8686203865e+00 8.9461778247e+02
7.8813527819e+00 8.9664525191e+02
7.8940851774e+00 8.9866080154e+02
7.9068175728e+00 9.0066406956e+02
7.9195499683e+00 9.0265471555e+02
7.9322823637e+00 9.0463242189e+02
7.9450147591e+00 9.0659689499e+02
7.9577471546e+00 9.0854786650e+02
7.9704795500e+00 9.1048509427e+02
7.9832119455e+00 9.1240836312e+02
7.9959443409e+00 9.1431748556e+02
8.0086767364e+00 9.1621230210e+02
8.0214091318e+00 9.1809268156e+02
8.0341415273e+00 9.1995852099e+02
8.0468739227e+00 9.2180974541e+02
8.0596063182e+00 9.2364630733e+02
8.0723387136e+00 9.2546818595e+02
8.0850711091e+00 9.2727538622e+02
8.0978035045e+00 9.2906793757e+02
8.1105359000e+00 9.3084589243e+02
8.1232682954e+00 9.3260932454e+02
8.1360006909e+00 9.3435832704e+02
8.1487330863e+00 9.3609301042e+02
8.1614654818e+00 9.3781350021e+02
8.1741978772e+00 9.3951993469e+02
8.1869302726e+00 9.4121246230e+02
8.1996626681e+00 9.4289123907e+02
8.2123950635e+00 9.4455642599e+02
8.2251274590e+00 9.4620818634e+02
