# freq_w_over_2pi_THz  G_native_run01_eV_ps^-1_THz^-1_A^-2_K^-1  G_native_run02_eV_ps^-1_THz^-1_A^-2_K^-1  G_native_run03_eV_ps^-1_THz^-1_A^-2_K^-1  G_native_run04_eV_ps^-1_THz^-1_A^-2_K^-1  G_native_run05_eV_ps^-1_THz^-1_A^-2_K^-1  G_native_run06_eV_ps^-1_THz^-1_A^-2_K^-1  G_native_run07_eV_ps^-1_THz^-1_A^-2_K^-1  G_native_run08_eV_ps^-1_THz^-1_A^-2_K^-1
1.0440564267e+00 1.1139119217e-06 6.3462425686e-07 9.4552375127e-07 7.1405326702e-07 3.8513152704e-07 1.1051908561e-06 7.0259030114e-07 9.9773230321e-07
1.0567888221e+00 1.1348371779e-06 6.4193728535e-07 9.6157369145e-07 7.4488694903e-07 4.2099684159e-07 1.1463627080e-06 7.3163031922e-07 1.0303527043e-06
1.0695212176e+00 1.1553052160e-06 6.5005726226e-07 9.7734125984e-07 7.7758892738e-07 4.5842947155e-07 1.1877687860e-06 7.6191621024e-07 1.0631379354e-06
1.0822536130e+00 1.1753972584e-06 6.5909265342e-07 9.9284003201e-07 8.1219180446e-07 4.9731023720e-07 1.2293527351e-06 7.9345789070e-07 1.0959634373e-06
1.0949860085e+00 1.1952209933e-06 6.6915659993e-07 1.0080899188e-06 8.4872365450e-07 5.3751449098e-07 1.2710608416e-06 8.2626708009e-07 1.1287140166e-06
1.1077184039e+00 1.2148457789e-06 6.8035850266e-07 1.0231171663e-06 8.8720349555e-07 5.7890720579e-07 1.3128411531e-06 8.6034558143e-07 1.1612744796e-06
1.1204507994e+00 1.2344002935e-06 6.9280682746e-07 1.0379552608e-06 9.2764400631e-07 6.2134538448e-07 1.3546408368e-06 8.9569249320e-07 1.1935371249e-06
1.1331831948e+00 1.2539776233e-06 7.0660817006e-07 1.0526440242e-06 9.7004880927e-07 6.6468371305e-07 1.3964158650e-06 9.3230240641e-07 1.2254036165e-06
1.1459155903e+00 1.2736808935e-06 7.2186725610e-07 1.0672287082e-06 1.0144142819e-06 7.0876835139e-07 1.4381037189e-06 9.7015999555e-07 1.2567831106e-06
1.1586479857e+00 1.2936086659e-06 7.3868413596e-07 1.0817618050e-06 1.0607313681e-06 7.5344666420e-07 1.4796726986e-06 1.0092472306e-06 1.2875969385e-06
1.1713803812e+00 1.3138750171e-06 7.5715418476e-07 1.0963021422e-06 1.1089801441e-06 7.9856262426e-07 1.5210717322e-06 1.0495361652e-06 1.3177804792e-06
1.1841127766e+00 1.3345766836e-06 7.7736997250e-07 1.1109130723e-06 1.1591334413e-06 8.4395943516e-07 1.5622515090e-06 1.0909907391e-06 1.3472803504e-06
1.1968451721e+00 1.3558012762e-06 7.9941658875e-07 1.1256642832e-06 1.2111586573e-06 8.8948337728e-07 1.6031812098e-06 1.1335703851e-06 1.3760609639e-06
1.2095775675e+00 1.3776473568e-06 8.2337538289e-07 1.1406272730e-06 1.2650114167e-06 9.3498149095e-07 1.6438203292e-06 1.1772246189e-06 1.4041007793e-06
1.2223099629e+00 1.4001833714e-06 8.4932115894e-07 1.1558807799e-06 1.3206428160e-06 9.8030685888e-07 1.6841204371e-06 1.2218939417e-06 1.4314007331e-06
1.2350423584e+00 1.4234960178e-06 8.7732030547e-07 1.1715062574e-06 1.3779930842e-06 1.0253157425e-06 1.7240515948e-06 1.2675089380e-06 1.4579711273e-06
1.2477747538e+00 1.4476446158e-06 9.0743360076e-07 1.1875869689e-06 1.4369961109e-06 1.0698781192e-06 1.7635856246e-06 1.3139983892e-06 1.4838438040e-06
1.2605071493e+00 1.4726711456e-06 9.3971527772e-07 1.2042088929e-06 1.4975803520e-06 1.1138533087e-06 1.8026943491e-06 1.3612775544e-06 1.5090721456e-06
1.2732395447e+00 1.4986258007e-06 9.7420928372e-07 1.2214589132e-06 1.5596543399e-06 1.1571388126e-06 1.8413399045e-06 1.4092544806e-06 1.5337282651e-06
1.2859719402e+00 1.5255441729e-06 1.0109520857e-06 1.2394239134e-06 1.6231410967e-06 1.1996162854e-06 1.8795046799e-06 1.4578363132e-06 1.5578973872e-06
1.2987043356e+00 1.5534326506e-06 1.0499726703e-06 1.2581907770e-06 1.6879283255e-06 1.2411957399e-06 1.9171560950e-06 1.5069085618e-06 1.5816769113e-06
1.3114367311e+00 1.5822939716e-06 1.0912897384e-06 1.2778463877e-06 1.7539254640e-06 1.2818002559e-06 1.9542862247e-06 1.5563747659e-06 1.6051923330e-06
1.3241691265e+00 1.6121317862e-06 1.1349135756e-06 1.2984712939e-06 1.8210156873e-06 1.3213362320e-06 1.9908721749e-06 1.6061204350e-06 1.6285850688e-06
1.3369015220e+00 1.6429095901e-06 1.1808469872e-06 1.3201487591e-06 1.8890812644e-06 1.3597703054e-06 2.0269104233e-06 1.6560139500e-06 1.6519937256e-06
1.3496339174e+00 1.6746146067e-06 1.2290796874e-06 1.3429548064e-06 1.9579963142e-06 1.3970431641e-06 2.0623798368e-06 1.7059372146e-06 1.6755906257e-06
1.3623663129e+00 1.7071765650e-06 1.2795929753e-06 1.3669591237e-06 2.0276268046e-06 1.4331297859e-06 2.0972804153e-06 1.7557811471e-06 1.6995480912e-06
1.3750987083e+00 1.7405689993e-06 1.3323672149e-06 1.3922304939e-06 2.0978441376e-06 1.4680255372e-06 2.1316130394e-06 1.8054177347e-06 1.7240609211e-06
1.3878311038e+00 1.7746997357e-06 1.3873528485e-06 1.4188295546e-06 2.1684943574e-06 1.5017220772e-06 2.1653882757e-06 1.8547135553e-06 1.7493033107e-06
1.4005634992e+00 1.8095085422e-06 1.4445152792e-06 1.4468087979e-06 2.2394470547e-06 1.5342416478e-06 2.1985920353e-06 1.9035694439e-06 1.7754719320e-06
1.4132958947e+00 1.8449068953e-06 1.5037993391e-06 1.4762152858e-06 2.3105437457e-06 1.5656129783e-06 2.2312586598e-06 1.9518645995e-06 1.8027737589e-06
1.4260282901e+00 1.8808035339e-06 1.5651246138e-06 1.5070906500e-06 2.3816422480e-06 1.5958768455e-06 2.2633863880e-06 1.9994908422e-06 1.8314064000e-06
1.4387606856e+00 1.9171090223e-06 1.6284303250e-06 1.5394629468e-06 2.4525695878e-06 1.6250971949e-06 2.2950113224e-06 2.0463444994e-06 1.8615768293e-06
1.4514930810e+00 1.9537165849e-06 1.6936304482e-06 1.5733557070e-06 2.5231881109e-06 1.6533342652e-06 2.3261369853e-06 2.0923435347e-06 1.8934554958e-06
1.4642254764e+00 1.9905340480e-06 1.7606370886e-06 1.6087861264e-06 2.5933366166e-06 1.6806779509e-06 2.3568126874e-06 2.1373959950e-06 1.9272484370e-06
1.4769578719e+00 2.0274509857e-06 1.8293389752e-06 1.6457578252e-06 2.6628620550e-06 1.7072311210e-06 2.3870533981e-06 2.1814477903e-06 1.9631167366e-06
1.4896902673e+00 2.0643679233e-06 1.8996295123e-06 1.6842680883e-06 2.7315986974e-06 1.7330827432e-06 2.4169119503e-06 2.2244222932e-06 2.0012261610e-06
