# freq_w_over_2pi_THz  G_paper_avg_MW_m^-2_K^-1_THz^-1  G_paper_stderr_MW_m^-2_K^-1_THz^-1
# Averaged over 8 jobs
5.4112680651e+00 1.5549423734e+02 4.0872096684e+00
5.4240004606e+00 1.5674609214e+02 4.0408617342e+00
5.4367328560e+00 1.5802034188e+02 3.9845090351e+00
5.4494652515e+00 1.5931559512e+02 3.9185353853e+00
5.4621976469e+00 1.6063019066e+02 3.8433264455e+00
5.4749300424e+00 1.6196239593e+02 3.7593298342e+00
5.4876624378e+00 1.6331024496e+02 3.6671341922e+00
5.5003948333e+00 1.6467173205e+02 3.5673002846e+00
5.5131272287e+00 1.6604487585e+02 3.4605181399e+00
5.5258596242e+00 1.6742717959e+02 3.3475516148e+00
5.5385920196e+00 1.6881640490e+02 3.2292420556e+00
5.5513244150e+00 1.7021003527e+02 3.1065179504e+00
5.5640568105e+00 1.7160581816e+02 2.9806479570e+00
5.5767892059e+00 1.7300073574e+02 2.8525498697e+00
5.5895216014e+00 1.7439266318e+02 2.7239484940e+00
5.6022539968e+00 1.7577873095e+02 2.5962979427e+00
5.6149863923e+00 1.7715648750e+02 2.4714390894e+00
5.6277187877e+00 1.7852292093e+02 2.3512338435e+00
5.6404511832e+00 1.7987630643e+02 2.2383699309e+00
5.6531835786e+00 1.8121327523e+02 2.1349426705e+00
5.6659159741e+00 1.8253188421e+02 2.0438422685e+00
5.6786483695e+00 1.8382936368e+02 1.9675803760e+00
5.6913807650e+00 1.8510377557e+02 1.9086373205e+00
5.7041131604e+00 1.8635332432e+02 1.8692516412e+00
5.7168455559e+00 1.8757519008e+02 1.8503340637e+00
5.7295779513e+00 1.8876792084e+02 1.8524303309e+00
5.7423103468e+00 1.8992959424e+02 1.8746317852e+00
5.7550427422e+00 1.9105838974e+02 1.9153569884e+00
