# omega_THz  Jin_native  Jout_native  Jsum_native  G_native_eV_ps^-1_THz^-1_A^-2_K^-1  G_native_smoothed_eV_ps^-1_THz^-1_A^-2_K^-1  G_paper_MW_m^-2_K^-1_THz^-1  G_paper_smoothed_MW_m^-2_K^-1_THz^-1  cumulative_integral_native
8.912676813146138688e-01 -9.047390000000000640e-03 4.630979999999999819e-03 -4.416410000000000821e-03 -3.306617430264363026e-08 1.474562734848432518e-07 -5.297785184346687215e-01 2.362509959141295912e+00 8.412158169919506506e-08
9.040000767619654765e-01 -9.766419999999999615e-03 7.868049999999999697e-03 -1.898369999999999919e-03 -1.421331654237481959e-08 1.468963711269402384e-07 -2.277224365583860599e-01 2.353539334389759041e+00 8.599548883528055717e-08
9.167324722093170841e-01 -1.028240000000000057e-02 1.226370000000000064e-02 1.981300000000000075e-03 1.483422307843425231e-08 1.477478882197584610e-07 2.376704559981090703e-01 2.367182142285408464e+00 8.787125244842765380e-08
9.294648676566688028e-01 -9.977259999999999948e-03 1.769659999999999983e-02 7.719339999999999882e-03 5.779559459863759051e-08 1.501971432285972195e-07 9.259875121407376009e-01 2.406423533744098009e+00 8.976802942941470767e-08
9.421972631040204105e-01 -8.212920000000000290e-03 2.387119999999999867e-02 1.565827999999999665e-02 1.172353598872383943e-07 1.541704639858067180e-07 1.878317542899142323e+00 2.470083150509980285e+00 9.170569379762370110e-08
9.549296585513720181e-01 -4.579330000000000379e-03 3.028399999999999842e-02 2.570466999999999891e-02 1.924538479470733996e-07 1.593710569920996441e-07 3.083450583041898785e+00 2.553405836486243530e+00 9.370176111475109450e-08
9.676620539987237368e-01 9.097680000000000350e-04 3.622360000000000163e-02 3.713336799999999993e-02 2.780218364536374817e-07 1.653623569453582421e-07 4.454400901077874231e+00 2.649397044410205737e+00 9.576907823536122731e-08
9.803944494460753445e-01 7.750909999999999744e-03 4.082419999999999799e-02 4.857510999999999773e-02 3.636874869022774772e-07 1.716702701650337832e-07 5.826915935930100154e+00 2.750460956108844446e+00 9.791469457887588393e-08
9.931268448934269522e-01 1.504619999999999916e-02 4.318770000000000248e-02 5.823390000000000510e-02 4.360039687716309552e-07 1.778729261324589761e-07 6.985553710971728059e+00 2.849838460706337617e+00 1.001399556794713454e-07
1.005859240340778671e+00 2.173059999999999922e-02 4.256580000000000086e-02 6.429640000000000355e-02 4.813946099733710759e-07 1.836548241033941182e-07 7.712791958328784503e+00 2.942474678998380444e+00 1.024415128200684889e-07
1.018591635788130167e+00 2.685540000000000149e-02 3.856670000000000237e-02 6.542210000000001080e-02 4.898228565384512860e-07 1.888175312478266300e-07 7.847827355450407438e+00 3.025190366548327070e+00 1.048127454808375771e-07
1.031324031235481886e+00 2.983030000000000057e-02 3.132999999999999674e-02 6.116030000000000078e-02 4.579142652520882434e-07 1.932561665674519487e-07 7.336595361621738753e+00 3.096305144507835116e+00 1.072451021861456194e-07
1.044056426682833383e+00 3.054959999999999967e-02 2.160429999999999989e-02 5.215390000000000303e-02 3.904823030385868799e-07 1.969223542235276091e-07 6.256216219189311367e+00 3.155043946492071427e+00 1.097290557970323182e-07
1.056788822130185101e+00 2.936880000000000046e-02 1.068189999999999938e-02 4.005070000000000158e-02 2.998642397655310775e-07 1.997957954843997944e-07 4.804354783245075033e+00 3.201081550965480638e+00 1.122546419786438311e-07
1.069521217577536598e+00 2.695519999999999861e-02 1.800200000000000010e-04 2.713521999999999809e-02 2.031645418474691517e-07 2.018786099420840350e-07 3.255054818053302768e+00 3.234451917536071530e+00 1.148117806641287210e-07
1.082253613024888317e+00 2.407590000000000077e-02 -8.288659999999999778e-03 1.578724000000000099e-02 1.182008983762077261e-07 2.032127054106531631e-07 1.893787174961685693e+00 3.255826483408738703e+00 1.173906720738081714e-07
1.094986008472240036e+00 2.140150000000000038e-02 -1.347489999999999973e-02 7.926600000000000659e-03 5.934737427624133514e-08 2.039075203276019379e-07 9.508497635464652209e-01 3.266958645657638272e+00 1.199824799281654546e-07
1.107718403919591532e+00 1.938190000000000052e-02 -1.477690000000000080e-02 4.604999999999999719e-03 3.447816952313618766e-08 2.041588027063901061e-07 5.524011759305972324e-01 3.270984633215941795e+00 1.225803108249731812e-07
1.120450799366943251e+00 1.821940000000000018e-02 -1.236409999999999940e-02 5.855300000000000782e-03 4.383931075110083377e-08 2.042421606713842095e-07 7.023831933607874722e-01 3.272320175053655245e+00 1.251802721083757949e-07
1.133183194814294747e+00 1.791540000000000146e-02 -7.099639999999999944e-03 1.081576000000000065e-02 8.097885055408371580e-08 2.044756785491313611e-07 1.297424222059308851e+00 3.276061543927133002e+00 1.277822506860471153e-07
