# freq_w_over_2pi_THz  G_native_avg_eV_ps^-1_THz^-1_A^-2_K^-1  G_native_stderr_eV_ps^-1_THz^-1_A^-2_K^-1
# Averaged over 8 jobs
3.8579158205e+00 1.0977225398e-05 2.4107787350e-07
3.8706482160e+00 1.0960012167e-05 2.4689969076e-07
3.8833806114e+00 1.0937955335e-05 2.5234445105e-07
3.8961130069e+00 1.0911182919e-05 2.5740292911e-07
3.9088454023e+00 1.0879838800e-05 2.6207135287e-07
3.9215777978e+00 1.0844099059e-05 2.6634610997e-07
3.9343101932e+00 1.0804154415e-05 2.7023629274e-07
3.9470425887e+00 1.0760224334e-05 2.7375199273e-07
3.9597749841e+00 1.0712547647e-05 2.7690185245e-07
3.9725073796e+00 1.0661383972e-05 2.7970652811e-07
3.9852397750e+00 1.0607007714e-05 2.8217936007e-07
3.9979721705e+00 1.0549711861e-05 2.8434207853e-07
4.0107045659e+00 1.0489800778e-05 2.8621304523e-07
4.0234369614e+00 1.0427591785e-05 2.8781211292e-07
4.0361693568e+00 1.0363413609e-05 2.8915903079e-07
4.0489017523e+00 1.0297595089e-05 2.9026928202e-07
4.0616341477e+00 1.0230468881e-05 2.9115937791e-07
4.0743665432e+00 1.0162371176e-05 2.9184541069e-07
4.0870989386e+00 1.0093641864e-05 2.9234069485e-07
4.0998313340e+00 1.0024601418e-05 2.9265655309e-07
4.1125637295e+00 9.9555695157e-06 2.9280089209e-07
4.1252961249e+00 9.8868534661e-06 2.9278474707e-07
4.1380285204e+00 9.8187493476e-06 2.9261717110e-07
4.1507609158e+00 9.7515382303e-06 2.9230413531e-07
4.1634933113e+00 9.6854744577e-06 2.9185769227e-07
4.1762257067e+00 9.6208031047e-06 2.9128620946e-07
4.1889581022e+00 9.5577383372e-06 2.9059710997e-07
4.2016904976e+00 9.4964764654e-06 2.8980766775e-07
4.2144228931e+00 9.4371794814e-06 2.8893075492e-07
4.2271552885e+00 9.3799957004e-06 2.8798368090e-07
4.2398876840e+00 9.3250381055e-06 2.8698525515e-07
4.2526200794e+00 9.2723957577e-06 2.8595823186e-07
4.2653524749e+00 9.2221246025e-06 2.8492387281e-07
4.2780848703e+00 9.1742643143e-06 2.8390675186e-07
4.2908172658e+00 9.1288240501e-06 2.8293338038e-07
4.3035496612e+00 9.0857796418e-06 2.8202577982e-07
4.3162820567e+00 9.0450929663e-06 2.8120765367e-07
4.3290144521e+00 9.0066964851e-06 2.8049901100e-07
4.3417468475e+00 8.9705061532e-06 2.7991480755e-07
4.3544792430e+00 8.9364255867e-06 2.7947058621e-07
4.3672116384e+00 8.9043239188e-06 2.7917056957e-07
4.3799440339e+00 8.8740712528e-06 2.7901611627e-07
4.3926764293e+00 8.8455159056e-06 2.7900042425e-07
4.4054088248e+00 8.8185106152e-06 2.7910886224e-07
4.4181412202e+00 8.7928829979e-06 2.7932203184e-07
4.4308736157e+00 8.7684775782e-06 2.7961173243e-07
4.4436060111e+00 8.7451204764e-06 2.7994558564e-07
4.4563384066e+00 8.7226459951e-06 2.8028487324e-07
4.4690708020e+00 8.7008903024e-06 2.8058669769e-07
4.4818031975e+00 8.6797068890e-06 2.8080686991e-07
4.4945355929e+00 8.6589400818e-06 2.8089835208e-07
4.5072679884e+00 8.6384545635e-06 2.8081210633e-07
4.5200003838e+00 8.6181346550e-06 2.8050314102e-07
