# freq_w_over_2pi_THz  cumulative_G_native_eV_ps^-1_A^-2_K^-1
6.3534653282e+00 3.9851885410e-05
6.3661977237e+00 4.0006822405e-05
6.3789301191e+00 4.0161070328e-05
6.3916625146e+00 4.0314610551e-05
6.4043949100e+00 4.0467426018e-05
6.4171273055e+00 4.0619501315e-05
6.4298597009e+00 4.0770822684e-05
6.4425920964e+00 4.0921378045e-05
6.4553244918e+00 4.1071157017e-05
6.4680568873e+00 4.1220150932e-05
6.4807892827e+00 4.1368352838e-05
6.4935216781e+00 4.1515757495e-05
6.5062540736e+00 4.1662361377e-05
6.5189864690e+00 4.1808162645e-05
6.5317188645e+00 4.1953161127e-05
6.5444512599e+00 4.2097358298e-05
6.5571836554e+00 4.2240757244e-05
6.5699160508e+00 4.2383362631e-05
6.5826484463e+00 4.2525180662e-05
6.5953808417e+00 4.2666219038e-05
6.6081132372e+00 4.2806486909e-05
6.6208456326e+00 4.2945994832e-05
6.6335780281e+00 4.3084754722e-05
6.6463104235e+00 4.3222779796e-05
6.6590428190e+00 4.3360084529e-05
6.6717752144e+00 4.3496684604e-05
6.6845076099e+00 4.3632596862e-05
6.6972400053e+00 4.3767839250e-05
6.7099724008e+00 4.3902430769e-05
6.7227047962e+00 4.4036391432e-05
6.7354371916e+00 4.4169742212e-05
6.7481695871e+00 4.4302504991e-05
6.7609019825e+00 4.4434702518e-05
6.7736343780e+00 4.4566358359e-05
6.7863667734e+00 4.4697496849e-05
6.7990991689e+00 4.4828143044e-05
6.8118315643e+00 4.4958322674e-05
6.8245639598e+00 4.5088062093e-05
6.8372963552e+00 4.5217388229e-05
6.8500287507e+00 4.5346328528e-05
6.8627611461e+00 4.5474910903e-05
6.8754935416e+00 4.5603163674e-05
6.8882259370e+00 4.5731115513e-05
6.9009583325e+00 4.5858795374e-05
6.9136907279e+00 4.5986232432e-05
6.9264231234e+00 4.6113456015e-05
6.9391555188e+00 4.6240495525e-05
6.9518879143e+00 4.6367380371e-05
6.9646203097e+00 4.6494139881e-05
6.9773527051e+00 4.6620803229e-05
6.9900851006e+00 4.6747399342e-05
7.0028174960e+00 4.6873956815e-05
7.0155498915e+00 4.7000503821e-05
7.0282822869e+00 4.7127068023e-05
7.0410146824e+00 4.7253676476e-05
7.0537470778e+00 4.7380355538e-05
7.0664794733e+00 4.7507130775e-05
7.0792118687e+00 4.7634026873e-05
7.0919442642e+00 4.7761067540e-05
7.1046766596e+00 4.7888275427e-05
7.1174090551e+00 4.8015672039e-05
7.1301414505e+00 4.8143277654e-05
7.1428738460e+00 4.8271111248e-05
7.1556062414e+00 4.8399190422e-05
7.1683386369e+00 4.8527531337e-05
7.1810710323e+00 4.8656148659e-05
7.1938034278e+00 4.8785055500e-05
7.2065358232e+00 4.8914263381e-05
7.2192682186e+00 4.9043782188e-05
7.2320006141e+00 4.9173620147e-05
7.2447330095e+00 4.9303783798e-05
7.2574654050e+00 4.9434277986e-05
7.2701978004e+00 4.9565105856e-05
7.2829301959e+00 4.9696268850e-05
7.2956625913e+00 4.9827766721e-05
7.3083949868e+00 4.9959597549e-05
7.3211273822e+00 5.0091757764e-05
7.3338597777e+00 5.0224242174e-05
7.3465921731e+00 5.0357044003e-05
7.3593245686e+00 5.0490154931e-05
7.3720569640e+00 5.0623565134e-05
7.3847893595e+00 5.0757263336e-05
7.3975217549e+00 5.0891236861e-05
7.4102541504e+00 5.1025471684e-05
7.4229865458e+00 5.1159952488e-05
7.4357189413e+00 5.1294662719e-05
7.4484513367e+00 5.1429584643e-05
7.4611837321e+00 5.1564699402e-05
7.4739161276e+00 5.1699987068e-05
7.4866485230e+00 5.1835426701e-05
7.4993809185e+00 5.1970996401e-05
7.5121133139e+00 5.2106673360e-05
7.5248457094e+00 5.2242433911e-05
7.5375781048e+00 5.2378253583e-05
7.5503105003e+00 5.2514107138e-05
7.5630428957e+00 5.2649968628e-05
7.5757752912e+00 5.2785811430e-05
7.5885076866e+00 5.2921608296e-05
7.6012400821e+00 5.3057331398e-05
7.6139724775e+00 5.3192952367e-05
7.6267048730e+00 5.3328442338e-05
7.6394372684e+00 5.3463771998e-05
7.6521696639e+00 5.3598911633e-05
7.6649020593e+00 5.3733831172e-05
7.6776344548e+00 5.3868500243e-05
7.6903668502e+00 5.4002888225e-05
7.7030992456e+00 5.4136964308e-05
7.7158316411e+00 5.4270697556e-05
7.7285640365e+00 5.4404056974e-05
7.7412964320e+00 5.4537011577e-05
7.7540288274e+00 5.4669530471e-05
7.7667612229e+00 5.4801582925e-05
7.7794936183e+00 5.4933138465e-05
7.7922260138e+00 5.5064166960e-05
7.8049584092e+00 5.5194638716e-05
7.8176908047e+00 5.5324524571e-05
7.8304232001e+00 5.5453795997e-05
7.8431555956e+00 5.5582425201e-05
7.8558879910e+00 5.5710385231e-05
7.8686203865e+00 5.5837650074e-05
7.8813527819e+00 5.5964194764e-05
7.8940851774e+00 5.6089995477e-05
7.9068175728e+00 5.6215029632e-05
7.9195499683e+00 5.6339275982e-05
7.9322823637e+00 5.6462714702e-05
7.9450147591e+00 5.6585327470e-05
7.9577471546e+00 5.6707097533e-05
7.9704795500e+00 5.6828009780e-05
7.9832119455e+00 5.6948050781e-05
7.9959443409e+00 5.7067208830e-05
8.0086767364e+00 5.7185473977e-05
8.0214091318e+00 5.7302838032e-05
8.0341415273e+00 5.7419294569e-05
8.0468739227e+00 5.7534838909e-05
8.0596063182e+00 5.7649468088e-05
8.0723387136e+00 5.7763180807e-05
8.0850711091e+00 5.7875977376e-05
8.0978035045e+00 5.7987859631e-05
8.1105359000e+00 5.8098830845e-05
8.1232682954e+00 5.8208895620e-05
8.1360006909e+00 5.8318059770e-05
8.1487330863e+00 5.8426330191e-05
8.1614654818e+00 5.8533714717e-05
8.1741978772e+00 5.8640221980e-05
8.1869302726e+00 5.8745861245e-05
8.1996626681e+00 5.8850642249e-05
8.2123950635e+00 5.8954575041e-05
8.2251274590e+00 5.9057669814e-05
8.2378598544e+00 5.9159936735e-05
8.2505922499e+00 5.9261385795e-05
8.2633246453e+00 5.9362026644e-05
8.2760570408e+00 5.9461868450e-05
8.2887894362e+00 5.9560919759e-05
8.3015218317e+00 5.9659188369e-05
8.3142542271e+00 5.9756681223e-05
8.3269866226e+00 5.9853404306e-05
8.3397190180e+00 5.9949362583e-05
8.3524514135e+00 6.0044559929e-05
8.3651838089e+00 6.0138999102e-05
8.3779162044e+00 6.0232681726e-05
8.3906485998e+00 6.0325608295e-05
8.4033809953e+00 6.0417778217e-05
8.4161133907e+00 6.0509189860e-05
8.4288457861e+00 6.0599840635e-05
8.4415781816e+00 6.0689727096e-05
8.4543105770e+00 6.0778845068e-05
8.4670429725e+00 6.0867189788e-05
8.4797753679e+00 6.0954756079e-05
8.4925077634e+00 6.1041538523e-05
8.5052401588e+00 6.1127531675e-05
8.5179725543e+00 6.1212730264e-05
8.5307049497e+00 6.1297129430e-05
8.5434373452e+00 6.1380724952e-05
8.5561697406e+00 6.1463513495e-05
8.5689021361e+00 6.1545492859e-05
8.5816345315e+00 6.1626662213e-05
8.5943669270e+00 6.1707022352e-05
8.6070993224e+00 6.1786575923e-05
8.6198317179e+00 6.1865327655e-05
8.6325641133e+00 6.1943284577e-05
8.6452965088e+00 6.2020456218e-05
8.6580289042e+00 6.2096854786e-05
8.6707612996e+00 6.2172495323e-05
8.6834936951e+00 6.2247395846e-05
8.6962260905e+00 6.2321577452e-05
8.7089584860e+00 6.2395064403e-05
8.7216908814e+00 6.2467884170e-05
8.7344232769e+00 6.2540067450e-05
8.7471556723e+00 6.2611648155e-05
8.7598880678e+00 6.2682663355e-05
8.7726204632e+00 6.2753153199e-05
