# coord_A   integrated_rho
1.885714285714285765e+01 -1.759007421915883285e+01
1.889999999999999858e+01 -2.004899538244783841e+01
1.894285714285714306e+01 -2.226916624821360458e+01
1.898571428571428754e+01 -2.420843448239233098e+01
1.902857142857142847e+01 -2.583409349722277781e+01
1.907142857142857295e+01 -2.712366341894968258e+01
1.911428571428571388e+01 -2.806572036493026090e+01
1.915714285714285836e+01 -2.866094886301450373e+01
1.919999999999999929e+01 -2.892347870858211678e+01
1.924285714285714377e+01 -2.888235601374393013e+01
1.928571428571428470e+01 -2.858303802522127413e+01
1.932857142857142918e+01 -2.808981687544892836e+01
1.937142857142857011e+01 -2.748663623877429529e+01
1.941428571428571459e+01 -2.687159773125063467e+01
1.945714285714285907e+01 -2.634407803746671206e+01
1.950000000000000000e+01 -2.598605029796783938e+01
1.954285714285714448e+01 -2.584127772025591341e+01
1.958571428571428541e+01 -2.589769954814261510e+01
1.962857142857142989e+01 -2.607834006239963287e+01
1.967142857142857082e+01 -2.624487129140354469e+01
1.971428571428571530e+01 -2.621518746545106993e+01
1.975714285714285623e+01 -2.579293604914827043e+01
1.980000000000000071e+01 -2.480367511120305579e+01
1.984285714285714164e+01 -2.313011553800646780e+01
1.988571428571428612e+01 -2.073857876001894951e+01
1.992857142857142705e+01 -1.769048725000019573e+01
1.997142857142857153e+01 -1.413603389417168366e+01
2.001428571428571601e+01 -1.029128894180019138e+01
2.005714285714285694e+01 -6.403825577037941308e+00
2.010000000000000142e+01 -2.714447324962722341e+00
2.014285714285714235e+01 5.768487073431495249e-01
2.018571428571428683e+01 3.334046162144296499e+00
2.022857142857142776e+01 5.493847681636908398e+00
2.027142857142857224e+01 7.060145702155433689e+00
2.031428571428571317e+01 8.087717108693258439e+00
2.035714285714285765e+01 8.660589201292482997e+00
2.039999999999999858e+01 8.870940229914651809e+00
2.044285714285714306e+01 8.803039770227121252e+00
2.048571428571428754e+01 8.524465871865924527e+00
2.052857142857142847e+01 8.084434432717332086e+00
2.057142857142857295e+01 7.517106876751420863e+00
2.061428571428571388e+01 6.846943586459363296e+00
2.065714285714285836e+01 6.093369796413427686e+00
2.069999999999999929e+01 5.273136719305392184e+00
2.074285714285714377e+01 4.400590184745954758e+00
2.078571428571428470e+01 3.488067996573143148e+00
2.082857142857142918e+01 2.546882533633674228e+00
2.087142857142857011e+01 1.588132459630981597e+00
2.091428571428571459e+01 6.231942869522931749e-01
2.095714285714285907e+01 -3.360829593041103069e-01
2.100000000000000000e+01 -1.277429005629869607e+00
2.104285714285714448e+01 -2.188392014496180149e+00
2.108571428571428541e+01 -3.056713594406205825e+00
2.112857142857142989e+01 -3.870788642526787893e+00
2.117142857142857082e+01 -4.620161604574155589e+00
2.121428571428571530e+01 -5.296015542554235900e+00
2.125714285714285623e+01 -5.891598829533881698e+00
