# freq_THz  kappa_Wm-1K-1THz-1  kappa_err  G_Wm-2K-1THz-1  G_err  lambda_m  lambda_err_m
1.1140846000e+00 8.4851168200e+00 4.6019384300e+00 4.3278881670e+06 6.3174848902e+05 1.9605674852e-06 1.1011614640e-06
1.1459155900e+00 8.6884214400e+00 4.6662212400e+00 4.5297116903e+06 6.6882168138e+05 1.9180959041e-06 1.0683583783e-06
1.1777465800e+00 8.8899479800e+00 4.7263501200e+00 4.7390710577e+06 7.0642389450e+05 1.8758840861e-06 1.0357748732e-06
1.2095775700e+00 9.0893767100e+00 4.7820179900e+00 4.9548540902e+06 7.4336096309e+05 1.8344388239e-06 1.0035914070e-06
1.2414085600e+00 9.2864485600e+00 4.8329506200e+00 5.1755660267e+06 7.7839619704e+05 1.7942865596e-06 9.7201240435e-07
1.2732395400e+00 9.4808930800e+00 4.8789281100e+00 5.3977487940e+06 8.1082075927e+05 1.7564531885e-06 9.4160334934e-07
1.3050705300e+00 9.6724600600e+00 4.9196749700e+00 5.6169899457e+06 8.3990417822e+05 1.7220006006e-06 9.1292098796e-07
1.3369015200e+00 9.8609991200e+00 4.9550205900e+00 5.8286450926e+06 8.6588512062e+05 1.6918167024e-06 8.8648933076e-07
1.3687325100e+00 1.0046266300e+01 4.9846907500e+00 6.0264976124e+06 8.8898091306e+05 1.6670157272e-06 8.6290876619e-07
1.4005635000e+00 1.0228161900e+01 5.0085830700e+00 6.2067014862e+06 9.1019778432e+05 1.6479223179e-06 8.4237277393e-07
1.4323944900e+00 1.0406531600e+01 5.0265231600e+00 6.3634106342e+06 9.3038340944e+05 1.6353701180e-06 8.2530552963e-07
1.4642254800e+00 1.0581303500e+01 5.0383555900e+00 6.4957546796e+06 9.5044101389e+05 1.6289567605e-06 8.1143252397e-07
1.4960564700e+00 1.0752377600e+01 5.0440032500e+00 6.6009491949e+06 9.7082552679e+05 1.6289138551e-06 8.0080783336e-07
1.5278874500e+00 1.0919722400e+01 5.0433461100e+00 6.6826334610e+06 9.9139932649e+05 1.6340447914e-06 7.9267279315e-07
1.5597184400e+00 1.1083329100e+01 5.0363424400e+00 6.7434048484e+06 1.0113877347e+06 1.6435805575e-06 7.8648422640e-07
1.5915494300e+00 1.1243196300e+01 5.0229429800e+00 6.7916598602e+06 1.0296431483e+06 1.6554416051e-06 7.8099820717e-07
1.6233804200e+00 1.1399352000e+01 5.0031451800e+00 6.8365481220e+06 1.0445093198e+06 1.6674134075e-06 7.7489628739e-07
1.6552114100e+00 1.1551857900e+01 4.9769629600e+00 6.8898804407e+06 1.0550185072e+06 1.6766412711e-06 7.6662608846e-07
1.6870424000e+00 1.1700798900e+01 4.9444127400e+00 6.9667709868e+06 1.0600855259e+06 1.6795153626e-06 7.5432392000e-07
