# freq_w_over_2pi_THz  G_paper_avg_MW_m^-2_K^-1_THz^-1  G_paper_stderr_MW_m^-2_K^-1_THz^-1
# Averaged over 4 jobs
1.5406198491e+00 2.9937503687e+01 4.4870633546e+00
1.5533522446e+00 3.0589843395e+01 4.4804948485e+00
1.5660846400e+00 3.1261531603e+01 4.4708713921e+00
1.5788170355e+00 3.1952561940e+01 4.4585960410e+00
1.5915494309e+00 3.2662853009e+01 4.4440127204e+00
1.6042818264e+00 3.3392258027e+01 4.4273986627e+00
1.6170142218e+00 3.4140461117e+01 4.4092789446e+00
1.6297466173e+00 3.4907249593e+01 4.3901054399e+00
1.6424790127e+00 3.5692129420e+01 4.3703325482e+00
1.6552114082e+00 3.6494808633e+01 4.3504485088e+00
1.6679438036e+00 3.7314658448e+01 4.3310744019e+00
1.6806761991e+00 3.8151194915e+01 4.3127759005e+00
1.6934085945e+00 3.9003845578e+01 4.2961550491e+00
1.7061409899e+00 3.9871850017e+01 4.2817297052e+00
1.7188733854e+00 4.0754545907e+01 4.2701452262e+00
1.7316057808e+00 4.1651127847e+01 4.2619247507e+00
1.7443381763e+00 4.2560857150e+01 4.2576619695e+00
1.7570705717e+00 4.3482870619e+01 4.2577230685e+00
1.7698029672e+00 4.4416249608e+01 4.2625788601e+00
1.7825353626e+00 4.5360014862e+01 4.2724727198e+00
1.7952677581e+00 4.6313231041e+01 4.2876672637e+00
1.8080001535e+00 4.7274946927e+01 4.3081704407e+00
1.8207325490e+00 4.8244016265e+01 4.3338940928e+00
1.8334649444e+00 4.9219381325e+01 4.3647174745e+00
1.8461973399e+00 5.0199962753e+01 4.4002521786e+00
1.8589297353e+00 5.1184590672e+01 4.4399344035e+00
1.8716621308e+00 5.2172070005e+01 4.4832121008e+00
1.8843945262e+00 5.3161268938e+01 4.5293253811e+00
1.8971269217e+00 5.4150893037e+01 4.5772841122e+00
1.9098593171e+00 5.5139742679e+01 4.6261560491e+00
1.9225917126e+00 5.6126562568e+01 4.6748157859e+00
1.9353241080e+00 5.7110105589e+01 4.7220735924e+00
1.9480565034e+00 5.8089159314e+01 4.7667542814e+00
1.9607888989e+00 5.9062420886e+01 4.8074876477e+00
1.9735212943e+00 6.0028632989e+01 4.8430977639e+00
1.9862536898e+00 6.0986669287e+01 4.8721614265e+00
1.9989860852e+00 6.1935261013e+01 4.8934574956e+00
2.0117184807e+00 6.2873309456e+01 4.9057245260e+00
2.0244508761e+00 6.3799662582e+01 4.9077225541e+00
2.0371832716e+00 6.4713215020e+01 4.8982132110e+00
2.0499156670e+00 6.5613127655e+01 4.8761940982e+00
2.0626480625e+00 6.6498427333e+01 4.8406305088e+00
2.0753804579e+00 6.7368159080e+01 4.7905976024e+00
2.0881128534e+00 6.8221707672e+01 4.7253045974e+00
2.1008452488e+00 6.9058432326e+01 4.6440838072e+00
2.1135776443e+00 6.9877626495e+01 4.5463539182e+00
2.1263100397e+00 7.0679004430e+01 4.4317687247e+00
2.1390424352e+00 7.1462250382e+01 4.3000372207e+00
2.1517748306e+00 7.2227006973e+01 4.1511813062e+00
2.1645072260e+00 7.2973407953e+01 3.9852503395e+00
2.1772396215e+00 7.3701334286e+01 3.8026080123e+00
2.1899720169e+00 7.4410996731e+01 3.6038520288e+00
2.2027044124e+00 7.5102762796e+01 3.3897914761e+00
2.2154368078e+00 7.5777102047e+01 3.1615634580e+00
2.2281692033e+00 7.6434429594e+01 2.9207810405e+00
2.2409015987e+00 7.7075479928e+01 2.6695581676e+00
2.2536339942e+00 7.7701057189e+01 2.4107013137e+00
2.2663663896e+00 7.8311945757e+01 2.1482991318e+00
2.2790987851e+00 7.8909149872e+01 1.8882282648e+00
2.2918311805e+00 7.9493722218e+01 1.6395958356e+00
2.3045635760e+00 8.0066770336e+01 1.4166874067e+00
2.3172959714e+00 8.0629478255e+01 1.2416758831e+00
2.3300283669e+00 8.1182809703e+01 1.1439382490e+00
2.3427607623e+00 8.1728257817e+01 1.1486746618e+00
2.3554931578e+00 8.2266829681e+01 1.2574476049e+00
2.3682255532e+00 8.2799813860e+01 1.4476565469e+00
2.3809579487e+00 8.3328333146e+01 1.6910008837e+00
2.3936903441e+00 8.3853517036e+01 1.9656988456e+00
2.4064227395e+00 8.4376472881e+01 2.2572557292e+00
2.4191551350e+00 8.4898048763e+01 2.5561974326e+00
2.4318875304e+00 8.5419314421e+01 2.8560603710e+00
2.4446199259e+00 8.5940988650e+01 3.1522893797e+00
2.4573523213e+00 8.6463770549e+01 3.4412107762e+00
2.4700847168e+00 8.6988212201e+01 3.7200096113e+00
2.4828171122e+00 8.7514828001e+01 3.9862845657e+00
2.4955495077e+00 8.8043850518e+01 4.2380069127e+00
2.5082819031e+00 8.8575481757e+01 4.4733810955e+00
2.5210142986e+00 8.9109838476e+01 4.6909905261e+00
2.5337466940e+00 8.9646775952e+01 4.8895053969e+00
2.5464790895e+00 9.0186120047e+01 5.0678661422e+00
2.5592114849e+00 9.0727563399e+01 5.2252891468e+00
2.5719438804e+00 9.1270614522e+01 5.3609621156e+00
2.5846762758e+00 9.1814777567e+01 5.4745670428e+00
2.5974086713e+00 9.2359549132e+01 5.5657327320e+00
2.6101410667e+00 9.2904114100e+01 5.6344853593e+00
2.6228734622e+00 9.3447731464e+01 5.6807949426e+00
2.6356058576e+00 9.3989753703e+01 5.7051044677e+00
2.6483382530e+00 9.4529278039e+01 5.7078015123e+00
2.6610706485e+00 9.5065601502e+01 5.6896619120e+00
2.6738030439e+00 9.5597943705e+01 5.6515169075e+00
2.6865354394e+00 9.6125672060e+01 5.5943890203e+00
