# freq_w_over_2pi_THz  G_native_avg_eV_ps^-1_THz^-1_A^-2_K^-1  G_native_stderr_eV_ps^-1_THz^-1_A^-2_K^-1
# Averaged over 4 jobs
3.4759439571e+00 9.2978437707e-06 2.5548143166e-07
3.4886763526e+00 9.3801186359e-06 2.4883283944e-07
3.5014087480e+00 9.4616610866e-06 2.4147415261e-07
3.5141411435e+00 9.5423857712e-06 2.3345312607e-07
3.5268735389e+00 9.6222159536e-06 2.2483750207e-07
3.5396059344e+00 9.7010772587e-06 2.1572846305e-07
3.5523383298e+00 9.7788996282e-06 2.0625845076e-07
3.5650707253e+00 9.8556199089e-06 1.9662273780e-07
3.5778031207e+00 9.9311683323e-06 1.8705721476e-07
3.5905355162e+00 1.0005477745e-05 1.7787290689e-07
3.6032679116e+00 1.0078504584e-05 1.6945509518e-07
3.6160003070e+00 1.0150171221e-05 1.6225725510e-07
3.6287327025e+00 1.0220423651e-05 1.5678259530e-07
3.6414650979e+00 1.0289199711e-05 1.5354728921e-07
3.6541974934e+00 1.0356449962e-05 1.5298808278e-07
3.6669298888e+00 1.0422090876e-05 1.5538663683e-07
3.6796622843e+00 1.0486077850e-05 1.6080890271e-07
3.6923946797e+00 1.0548310369e-05 1.6909295242e-07
3.7051270752e+00 1.0608773914e-05 1.7991279101e-07
3.7178594706e+00 1.0667376375e-05 1.9287425106e-07
3.7305918661e+00 1.0724011901e-05 2.0749113368e-07
3.7433242615e+00 1.0778657076e-05 2.2336288993e-07
3.7560566570e+00 1.0831229114e-05 2.4009481748e-07
3.7687890524e+00 1.0881657332e-05 2.5735486803e-07
3.7815214479e+00 1.0929876417e-05 2.7482574105e-07
3.7942538433e+00 1.0975768661e-05 2.9226420736e-07
3.8069862388e+00 1.1019360096e-05 3.0945247681e-07
3.8197186342e+00 1.1060548072e-05 3.2617085950e-07
3.8324510297e+00 1.1099230311e-05 3.4223314215e-07
3.8451834251e+00 1.1135438221e-05 3.5752948434e-07
3.8579158205e+00 1.1169118540e-05 3.7189681625e-07
3.8706482160e+00 1.1200197656e-05 3.8524088700e-07
3.8833806114e+00 1.1228659808e-05 3.9746888303e-07
3.8961130069e+00 1.1254521968e-05 4.0847776310e-07
3.9088454023e+00 1.1277724317e-05 4.1824491008e-07
3.9215777978e+00 1.1298325678e-05 4.2672142614e-07
3.9343101932e+00 1.1316365075e-05 4.3387463264e-07
3.9470425887e+00 1.1331817272e-05 4.3970219909e-07
3.9597749841e+00 1.1344735229e-05 4.4421655581e-07
3.9725073796e+00 1.1355187456e-05 4.4742045651e-07
3.9852397750e+00 1.1363269321e-05 4.4938326935e-07
3.9979721705e+00 1.1369014398e-05 4.5012495691e-07
4.0107045659e+00 1.1372567168e-05 4.4971085638e-07
4.0234369614e+00 1.1373981626e-05 4.4823645458e-07
4.0361693568e+00 1.1373382877e-05 4.4574495326e-07
4.0489017523e+00 1.1370877642e-05 4.4234221312e-07
4.0616341477e+00 1.1366624754e-05 4.3812762248e-07
4.0743665432e+00 1.1360761182e-05 4.3317613191e-07
4.0870989386e+00 1.1353391276e-05 4.2761410298e-07
4.0998313340e+00 1.1344619633e-05 4.2151674373e-07
4.1125637295e+00 1.1334643109e-05 4.1494811218e-07
4.1252961249e+00 1.1323572300e-05 4.0802299253e-07
4.1380285204e+00 1.1311538682e-05 4.0080451759e-07
4.1507609158e+00 1.1298683716e-05 3.9335777915e-07
4.1634933113e+00 1.1285077647e-05 3.8575425483e-07
4.1762257067e+00 1.1270884117e-05 3.7799782681e-07
4.1889581022e+00 1.1256162322e-05 3.7017962235e-07
4.2016904976e+00 1.1241003026e-05 3.6225681312e-07
4.2144228931e+00 1.1225479949e-05 3.5424668339e-07
4.2271552885e+00 1.1209661667e-05 3.4618601157e-07
4.2398876840e+00 1.1193576575e-05 3.3800426546e-07
4.2526200794e+00 1.1177220597e-05 3.2970391328e-07
4.2653524749e+00 1.1160600345e-05 3.2128338133e-07
4.2780848703e+00 1.1143736082e-05 3.1268373054e-07
4.2908172658e+00 1.1126568776e-05 3.0385381901e-07
4.3035496612e+00 1.1109039816e-05 2.9483254746e-07
4.3162820567e+00 1.1091114526e-05 2.8552795614e-07
4.3290144521e+00 1.1072625441e-05 2.7595056613e-07
4.3417468475e+00 1.1053550772e-05 2.6611480557e-07
4.3544792430e+00 1.1033748133e-05 2.5599124419e-07
4.3672116384e+00 1.1013099257e-05 2.4558019033e-07
4.3799440339e+00 1.0991427173e-05 2.3490665893e-07
4.3926764293e+00 1.0968579281e-05 2.2399613463e-07
4.4054088248e+00 1.0944453272e-05 2.1289331288e-07
4.4181412202e+00 1.0918866727e-05 2.0162958469e-07
4.4308736157e+00 1.0891623719e-05 1.9026425605e-07
4.4436060111e+00 1.0862653090e-05 1.7883972881e-07
4.4563384066e+00 1.0831682903e-05 1.6745143000e-07
4.4690708020e+00 1.0798663002e-05 1.5615765532e-07
4.4818031975e+00 1.0763372477e-05 1.4501223941e-07
4.4945355929e+00 1.0725705134e-05 1.3410478921e-07
4.5072679884e+00 1.0685599501e-05 1.2351709467e-07
4.5200003838e+00 1.0642851496e-05 1.1334023961e-07
4.5327327793e+00 1.0597518986e-05 1.0362174020e-07
4.5454651747e+00 1.0549420428e-05 9.4450248589e-08
4.5581975702e+00 1.0498599747e-05 8.5924693484e-08
4.5709299656e+00 1.0444973270e-05 7.8118584648e-08
4.5836623610e+00 1.0388597035e-05 7.1086773782e-08
4.5963947565e+00 1.0329520085e-05 6.4939613009e-08
4.6091271519e+00 1.0267761839e-05 5.9712932005e-08
4.6218595474e+00 1.0203469380e-05 5.5520619480e-08
4.6345919428e+00 1.0136706519e-05 5.2419046616e-08
4.6473243383e+00 1.0067653496e-05 5.0460732634e-08
4.6600567337e+00 9.9964309342e-06 4.9618069727e-08
4.6727891292e+00 9.9232755722e-06 4.9854926215e-08
4.6855215246e+00 9.8483376664e-06 5.1068986598e-08
4.6982539201e+00 9.7719572655e-06 5.3158709437e-08
4.7109863155e+00 9.6942631468e-06 5.6007009690e-08
4.7237187110e+00 9.6156220404e-06 5.9461430524e-08
4.7364511064e+00 9.5361932736e-06 6.3430144856e-08
4.7491835019e+00 9.4563634026e-06 6.7787748794e-08
4.7619158973e+00 9.3763970866e-06 7.2447243676e-08
4.7746482928e+00 9.2965816676e-06 7.7304974266e-08
4.7873806882e+00 9.2172121813e-06 8.2268695027e-08
4.8001130837e+00 9.1385778982e-06 8.7254463878e-08
4.8128454791e+00 9.0609743189e-06 9.2171028332e-08
4.8255778745e+00 8.9846689297e-06 9.6939278944e-08
4.8383102700e+00 8.9099347245e-06 1.0147737050e-07
4.8510426654e+00 8.8370005901e-06 1.0572145664e-07
4.8637750609e+00 8.7661068630e-06 1.0960288245e-07
4.8765074563e+00 8.6974488283e-06 1.1307811862e-07
4.8892398518e+00 8.6312154618e-06 1.1612420957e-07
4.9019722472e+00 8.5675524504e-06 1.1872488230e-07
4.9147046427e+00 8.5065855378e-06 1.2089993949e-07
4.9274370381e+00 8.4484119661e-06 1.2269884003e-07
