# freq_w_over_2pi_THz  G_native_run01_eV_ps^-1_THz^-1_A^-2_K^-1  G_native_run02_eV_ps^-1_THz^-1_A^-2_K^-1  G_native_run03_eV_ps^-1_THz^-1_A^-2_K^-1  G_native_run04_eV_ps^-1_THz^-1_A^-2_K^-1
2.9539157438e+00 7.2115385917e-06 6.3780874170e-06 6.6220986055e-06 6.3090483397e-06
2.9666481392e+00 7.2413695112e-06 6.3714973948e-06 6.6660984789e-06 6.3715113432e-06
2.9793805347e+00 7.2727868150e-06 6.3676239358e-06 6.7089302886e-06 6.4352092713e-06
2.9921129301e+00 7.3059543143e-06 6.3667241278e-06 6.7506696643e-06 6.5002112107e-06
3.0048453256e+00 7.3410099556e-06 6.3690379197e-06 6.7913838330e-06 6.5665776122e-06
3.0175777210e+00 7.3781003071e-06 6.3748052603e-06 6.8311568278e-06 6.6343775626e-06
3.0303101165e+00 7.4173029635e-06 6.3842575288e-06 6.8700978923e-06 6.7036801484e-06
3.0430425119e+00 7.4587041415e-06 6.3975575476e-06 6.9083078665e-06 6.7745458206e-06
3.0557749074e+00 7.5023555709e-06 6.4148852783e-06 6.9459464137e-06 6.8470523017e-06
3.0685073028e+00 7.5482917384e-06 6.4363864040e-06 6.9831311808e-06 6.9212427708e-06
3.0812396983e+00 7.5965040223e-06 6.4621808991e-06 7.0199966210e-06 6.9971863148e-06
3.0939720937e+00 7.6469838010e-06 6.4923630294e-06 7.0567444145e-06 7.0749261126e-06
3.1067044892e+00 7.6996707228e-06 6.5270013514e-06 7.0934922080e-06 7.1544967077e-06
3.1194368846e+00 7.7545044363e-06 6.5661215742e-06 7.1304164715e-06 7.2359153718e-06
3.1321692800e+00 7.8113901031e-06 6.6097408368e-06 7.1677020786e-06 7.3192252840e-06
3.1449016755e+00 7.8702156419e-06 6.6578334304e-06 7.2055002893e-06 7.4043832652e-06
3.1576340709e+00 7.9308603496e-06 6.7103565071e-06 7.2440043802e-06 7.4913979512e-06
3.1703664664e+00 7.9931690362e-06 6.7672243709e-06 7.2833572082e-06 7.5802347986e-06
