# freq_w_over_2pi_THz  kappa_z_avg_Wm-1K-1THz-1  std_Wm-1K-1THz-1  stderr_Wm-1K-1THz-1
9.54929659e+00 1.20389449e+01 2.35088582e-01 1.66232730e-01
9.58112757e+00 1.19473235e+01 2.88633161e-01 2.04094465e-01
9.61295856e+00 1.18588994e+01 3.41587963e-01 2.41539165e-01
9.64478955e+00 1.17737863e+01 3.93970860e-01 2.78579467e-01
9.67662054e+00 1.16920854e+01 4.45746109e-01 3.15190097e-01
9.70845153e+00 1.16138344e+01 4.96931581e-01 3.51383691e-01
9.74028252e+00 1.15390461e+01 5.47545148e-01 3.87172887e-01
9.77211351e+00 1.14678216e+01 5.97551067e-01 4.22532412e-01
9.80394449e+00 1.14000976e+01 6.46967209e-01 4.57474901e-01
9.83577548e+00 1.13358615e+01 6.95811446e-01 4.92012992e-01
9.86760647e+00 1.12750755e+01 7.44030162e-01 5.26108773e-01
9.89943746e+00 1.12176763e+01 7.91676974e-01 5.59800157e-01
9.93126845e+00 1.11635755e+01 8.38662520e-01 5.93023955e-01
9.96309944e+00 1.11126846e+01 8.85040418e-01 6.25818081e-01
9.99493043e+00 1.10648393e+01 9.30757052e-01 6.58144623e-01
1.00267614e+01 1.10199638e+01 9.75776676e-01 6.89978304e-01
1.00585924e+01 1.09778685e+01 1.02015291e+00 7.21357039e-01
1.00904234e+01 1.09384018e+01 1.06377851e+00 7.52205001e-01
1.01222544e+01 1.09013615e+01 1.10668924e+00 7.82547466e-01
1.01540854e+01 1.08665833e+01 1.14879572e+00 8.12321247e-01
1.01859164e+01 1.08338397e+01 1.19009797e+00 8.41526343e-01
1.02177473e+01 1.08029159e+01 1.23054235e+00 8.70124843e-01
1.02495783e+01 1.07735971e+01 1.27011101e+00 8.98104109e-01
1.02814093e+01 1.07456305e+01 1.30876820e+00 9.25438866e-01
1.03132403e+01 1.07188265e+01 1.34646029e+00 9.52091202e-01
1.03450713e+01 1.06928818e+01 1.38315155e+00 9.78035843e-01
1.03769023e+01 1.06675943e+01 1.41873475e+00 1.00319696e+00
1.04087333e+01 1.06426733e+01 1.45322775e+00 1.02758720e+00
1.04405643e+01 1.06179166e+01 1.48655907e+00 1.05115600e+00
1.04723953e+01 1.05930209e+01 1.51869297e+00 1.07387810e+00
1.05042262e+01 1.05677713e+01 1.54954008e+00 1.09569030e+00
1.05360572e+01 1.05419151e+01 1.57906466e+00 1.11656733e+00
1.05678882e+01 1.05151743e+01 1.60719523e+00 1.13645864e+00
1.05997192e+01 1.04873593e+01 1.63391390e+00 1.15535160e+00
1.06315502e+01 1.04582048e+01 1.65913132e+00 1.17318301e+00
1.06633812e+01 1.04274832e+01 1.68277601e+00 1.18990233e+00
