# t(ps)   kx_avg(W/mK)   ky_avg(W/mK)   kz_avg(W/mK)   kiso_avg(W/mK)
# Averaged over 10 runs
5.235000 41.822896 42.142105 29.356290 37.773764
5.245000 41.707510 42.021601 29.385395 37.704835
5.255000 41.634695 41.941358 29.437694 37.671249
5.265000 41.657381 41.963539 29.479865 37.700261
5.275000 41.791379 42.105791 29.474346 37.790505
5.285000 41.990443 42.316692 29.453568 37.920235
5.295000 42.202283 42.539447 29.483670 38.075133
5.305000 42.413181 42.762019 29.557144 38.244114
5.315000 42.605026 42.970615 29.603067 38.392902
5.325000 42.722219 43.102095 29.594710 38.473008
5.335000 42.726253 43.108844 29.585160 38.473419
5.345000 42.642741 43.021751 29.617910 38.427468
5.355000 42.523859 42.899798 29.668580 38.364079
5.365000 42.391119 42.763050 29.705569 38.286579
5.375000 42.255651 42.619748 29.730430 38.201943
5.385000 42.165806 42.521244 29.747629 38.144893
5.395000 42.177017 42.531751 29.751918 38.153562
5.405000 42.291884 42.654533 29.762327 38.236248
5.415000 42.466191 42.837501 29.810095 38.371262
5.425000 42.668649 43.046630 29.875309 38.530196
5.435000 42.891838 43.281012 29.899935 38.690928
5.445000 43.098759 43.504554 29.879456 38.827590
5.455000 43.224975 43.642479 29.878301 38.915252
