# freq_w_over_2pi_THz  G_paper_avg_MW_m^-2_K^-1_THz^-1  G_paper_stderr_MW_m^-2_K^-1_THz^-1
# Averaged over 8 jobs
3.6287327025e+00 5.4563694886e+01 4.1228727155e+00
3.6414650979e+00 5.4954305557e+01 4.1025401898e+00
3.6541974934e+00 5.5356092605e+01 4.0775561440e+00
3.6669298888e+00 5.5768255611e+01 4.0482443847e+00
3.6796622843e+00 5.6190052682e+01 4.0149049292e+00
3.6923946797e+00 5.6620724477e+01 3.9779760202e+00
3.7051270752e+00 5.7059438192e+01 3.9378690252e+00
3.7178594706e+00 5.7505563136e+01 3.8950256183e+00
3.7305918661e+00 5.7958369299e+01 3.8498756142e+00
3.7433242615e+00 5.8417145237e+01 3.8028506023e+00
3.7560566570e+00 5.8881385973e+01 3.7543792051e+00
3.7687890524e+00 5.9350611007e+01 3.7047610257e+00
3.7815214479e+00 5.9824335834e+01 3.6543264968e+00
3.7942538433e+00 6.0302246867e+01 3.6033163188e+00
3.8069862388e+00 6.0784127377e+01 3.5518895342e+00
3.8197186342e+00 6.1269721217e+01 3.5001016830e+00
3.8324510297e+00 6.1759119075e+01 3.4479694475e+00
3.8451834251e+00 6.2252252358e+01 3.3954491414e+00
3.8579158205e+00 6.2749379942e+01 3.3423961584e+00
3.8706482160e+00 6.3250780124e+01 3.2886012504e+00
3.8833806114e+00 6.3756720411e+01 3.2338585542e+00
3.8961130069e+00 6.4267763140e+01 3.1778980302e+00
3.9088454023e+00 6.4784470906e+01 3.1204674248e+00
3.9215777978e+00 6.5307453852e+01 3.0613148265e+00
3.9343101932e+00 6.5837592213e+01 3.0002380154e+00
3.9470425887e+00 6.6375677254e+01 2.9370606277e+00
3.9597749841e+00 6.6922628805e+01 2.8717220305e+00
3.9725073796e+00 6.7479476648e+01 2.8042209440e+00
3.9852397750e+00 6.8047187755e+01 2.7346140330e+00
3.9979721705e+00 6.8626958828e+01 2.6631265284e+00
4.0107045659e+00 6.9219857848e+01 2.5900483000e+00
4.0234369614e+00 6.9827099157e+01 2.5158539568e+00
4.0361693568e+00 7.0449810194e+01 2.4410202514e+00
4.0489017523e+00 7.1089295647e+01 2.3662719899e+00
4.0616341477e+00 7.1746539860e+01 2.2923136323e+00
4.0743665432e+00 7.2422919354e+01 2.2200215429e+00
4.0870989386e+00 7.3119271160e+01 2.1502731885e+00
4.0998313340e+00 7.3836892807e+01 2.0839875310e+00
4.1125637295e+00 7.4576734595e+01 2.0220986078e+00
4.1252961249e+00 7.5339619161e+01 1.9654558823e+00
