# freq_w_over_2pi_THz  G_native_run01_eV_ps^-1_THz^-1_A^-2_K^-1  G_native_run02_eV_ps^-1_THz^-1_A^-2_K^-1  G_native_run03_eV_ps^-1_THz^-1_A^-2_K^-1  G_native_run04_eV_ps^-1_THz^-1_A^-2_K^-1  G_native_run05_eV_ps^-1_THz^-1_A^-2_K^-1  G_native_run06_eV_ps^-1_THz^-1_A^-2_K^-1  G_native_run07_eV_ps^-1_THz^-1_A^-2_K^-1  G_native_run08_eV_ps^-1_THz^-1_A^-2_K^-1
1.0058592403e+00 3.2891614238e-07 2.6924145981e-07 2.1333704163e-07 1.2059311642e-07 3.0145977498e-07 3.1008444953e-07 7.4509033501e-08 2.1860334499e-07
1.0185916358e+00 3.3631678766e-07 2.7436695901e-07 2.2046041077e-07 1.1993877243e-07 3.0978296797e-07 3.1081218875e-07 7.5935146359e-08 2.2668346868e-07
1.0313240312e+00 3.4404709626e-07 2.7895560571e-07 2.2769939754e-07 1.1892912270e-07 3.1788714432e-07 3.1175682280e-07 7.7725429534e-08 2.3481594568e-07
1.0440564267e+00 3.5214358776e-07 2.8303484635e-07 2.3505508802e-07 1.1760757923e-07 3.2574352540e-07 3.1297447796e-07 7.9883258330e-08 2.4295663690e-07
1.0567888221e+00 3.6063389860e-07 2.8663332505e-07 2.4252698854e-07 1.1602417949e-07 3.3332361287e-07 3.1451842666e-07 8.2408384842e-08 2.5105883013e-07
1.0695212176e+00 3.6954665225e-07 2.8978357832e-07 2.5011598770e-07 1.1423588316e-07 3.4060077715e-07 3.1644003872e-07 8.5296814011e-08 2.5907353694e-07
1.0822536130e+00 3.7889961500e-07 2.9252363196e-07 2.5781981462e-07 1.1230568209e-07 3.4755156552e-07 3.1878592750e-07 8.8540975241e-08 2.6695038334e-07
1.0949860085e+00 3.8871055313e-07 2.9489290906e-07 2.6563412499e-07 1.1030012813e-07 3.5414916153e-07 3.2159794990e-07 9.2129541249e-08 2.7463810468e-07
1.1077184039e+00 3.9898637576e-07 2.9693073289e-07 2.7355605554e-07 1.0829128118e-07 3.6037394337e-07 3.2491035246e-07 9.6047942933e-08 2.8208731664e-07
1.1204507994e+00 4.0973103094e-07 2.9867902165e-07 2.8157800373e-07 1.0635632359e-07 3.6620348614e-07 3.2875357658e-07 1.0027851240e-07 2.8924457729e-07
1.1331831948e+00 4.2094057061e-07 3.0018009278e-07 2.8969147843e-07 1.0457232890e-07 3.7161910241e-07 3.3315045328e-07 1.0480017784e-07 2.9605941368e-07
1.1459155903e+00 4.3260117655e-07 3.0147606410e-07 2.9788522395e-07 1.0302073164e-07 3.7660490787e-07 3.3811810584e-07 1.0958938843e-07 3.0248333222e-07
1.1586479857e+00 4.4469606949e-07 3.0260745655e-07 3.0614561499e-07 1.0178218513e-07 3.8114782130e-07 3.4366699848e-07 1.1461973289e-07 3.0846684962e-07
1.1713803812e+00 4.5719662597e-07 3.0361419222e-07 3.1445695283e-07 1.0093827223e-07 3.8523382716e-07 3.4979998508e-07 1.1986308371e-07 3.1396543095e-07
1.1841127766e+00 4.7007027447e-07 3.0453359828e-07 3.2280008305e-07 1.0056922103e-07 3.8885451609e-07 3.5651326047e-07 1.2528892969e-07 3.1893454125e-07
1.1968451721e+00 4.8327753434e-07 3.0539960854e-07 3.3115397529e-07 1.0075315330e-07 3.9200054438e-07 3.6379636043e-07 1.3086542475e-07 3.2333459391e-07
1.2095775675e+00 4.9676905479e-07 3.0624286319e-07 3.3949384728e-07 1.0156502639e-07 3.9466817455e-07 3.7163311298e-07 1.3655929260e-07 3.2712996097e-07
1.2223099629e+00 5.1048857592e-07 3.0709190655e-07 3.4779264589e-07 1.0307594099e-07 3.9685460347e-07 3.7999973577e-07 1.4233687558e-07 3.3028798347e-07
1.2350423584e+00 5.2437983781e-07 3.0796939441e-07 3.5601917113e-07 1.0535175672e-07 3.9855983116e-07 3.8886673874e-07 1.4816346718e-07 3.3278194045e-07
1.2477747538e+00 5.3837276235e-07 3.0889608626e-07 3.6414123570e-07 1.0845249880e-07 3.9978666073e-07 3.9820082662e-07 1.5400445626e-07 3.3458807992e-07
1.2605071493e+00 5.5239727139e-07 3.0988735212e-07 3.7212487506e-07 1.1243186359e-07 4.0053976403e-07 4.0796299639e-07 1.5982542236e-07 3.3569155691e-07
1.2732395447e+00 5.6637835173e-07 3.1095327231e-07 3.7993079303e-07 1.1733514192e-07 4.0082941914e-07 4.1810758599e-07 1.6559280315e-07 3.3608049544e-07
1.2859719402e+00 5.8023506807e-07 3.1210003476e-07 3.8752147067e-07 1.2320191879e-07 4.0066403541e-07 4.2858798205e-07 1.7127275027e-07 3.3574994718e-07
1.2987043356e+00 5.9388845914e-07 3.1333003480e-07 3.9485346497e-07 1.3005904238e-07 4.0005762842e-07 4.3935566862e-07 1.7683398972e-07 3.3470090178e-07
1.3114367311e+00 6.0725364155e-07 3.1464067749e-07 4.0188629494e-07 1.3792807035e-07 3.9902701683e-07 4.5035642201e-07 1.8224543822e-07 3.3294226625e-07
1.3241691265e+00 6.2024770599e-07 3.1602557530e-07 4.0857553024e-07 1.4681994963e-07 3.9759275683e-07 4.6153601850e-07 1.8748058916e-07 3.3048987523e-07
1.3369015220e+00 6.3278675609e-07 3.1747604516e-07 4.1487772787e-07 1.5673471978e-07 3.9577447021e-07 4.7283833180e-07 1.9251074293e-07 3.2736451169e-07
1.3496339174e+00 6.4478788252e-07 3.1897841376e-07 4.2074747014e-07 1.6766543883e-07 3.9359925374e-07 4.8421104078e-07 1.9731177660e-07 3.2359685526e-07
1.3623663129e+00 6.5617014998e-07 3.2051721128e-07 4.2614427607e-07 1.7959265546e-07 3.9109326981e-07 4.9559801917e-07 2.0186433464e-07 3.1922184114e-07
1.3750987083e+00 6.6685854525e-07 3.2207297570e-07 4.3102272797e-07 1.9248788983e-07 3.8829015580e-07 5.0694599453e-07 2.0614677316e-07 3.1428350943e-07
1.3878311038e+00 6.7678002916e-07 3.2362754245e-07 4.3534234486e-07 2.0631544325e-07 3.8521981159e-07 5.1820454835e-07 2.1014574350e-07 3.0883134341e-07
1.4005634992e+00 6.8586452358e-07 3.2516045146e-07 4.3906560779e-07 2.2102953044e-07 3.8192148077e-07 5.2932516467e-07 2.1384627610e-07 3.0292165505e-07
1.4132958947e+00 6.9405280756e-07 3.2664974557e-07 4.4215302311e-07 2.3657536727e-07 3.7843534131e-07 5.4026123012e-07 2.1724045712e-07 2.9661966330e-07
1.4260282901e+00 7.0128960820e-07 3.2807566334e-07 4.4457497059e-07 2.5289184075e-07 3.7480063681e-07 5.5097279040e-07 2.2032247035e-07 2.8999187368e-07
1.4387606856e+00 7.0752656172e-07 3.2941654702e-07 4.4629886799e-07 2.6991052018e-07 3.7106595458e-07 5.6142179379e-07 2.2308955073e-07 2.8311597492e-07
