# freq_w_over_2pi_THz  G_native_avg_eV_ps^-1_THz^-1_A^-2_K^-1  G_native_stderr_eV_ps^-1_THz^-1_A^-2_K^-1
# Averaged over 8 jobs
4.3290144521e+00 5.6782872182e-06 1.1512706392e-07
4.3417468475e+00 5.7514759865e-06 1.1621913263e-07
4.3544792430e+00 5.8256614096e-06 1.1734407855e-07
4.3672116384e+00 5.9007186621e-06 1.1850118300e-07
4.3799440339e+00 5.9765149148e-06 1.1969471799e-07
4.3926764293e+00 6.0529085731e-06 1.2093248766e-07
4.4054088248e+00 6.1297624979e-06 1.2221523053e-07
4.4181412202e+00 6.2069100150e-06 1.2354782770e-07
4.4308736157e+00 6.2841991760e-06 1.2492412709e-07
4.4436060111e+00 6.3614639578e-06 1.2633806482e-07
4.4563384066e+00 6.4385336468e-06 1.2777237401e-07
4.4690708020e+00 6.5152404208e-06 1.2920728988e-07
4.4818031975e+00 6.5914175887e-06 1.3061219071e-07
4.4945355929e+00 6.6668835115e-06 1.3195514201e-07
4.5072679884e+00 6.7414741913e-06 1.3319581761e-07
4.5200003838e+00 6.8150215156e-06 1.3429433571e-07
4.5327327793e+00 6.8873527424e-06 1.3520488008e-07
4.5454651747e+00 6.9583155310e-06 1.3588605759e-07
4.5581975702e+00 7.0277480352e-06 1.3629464388e-07
4.5709299656e+00 7.0955100788e-06 1.3639492048e-07
4.5836623610e+00 7.1614529285e-06 1.3615345681e-07
4.5963947565e+00 7.2254485267e-06 1.3554488160e-07
4.6091271519e+00 7.2873773438e-06 1.3455303769e-07
4.6218595474e+00 7.3471305829e-06 1.3316809530e-07
4.6345919428e+00 7.4046006096e-06 1.3139832139e-07
4.6473243383e+00 7.4597005590e-06 1.2925737631e-07
4.6600567337e+00 7.5123652141e-06 1.2677309828e-07
4.6727891292e+00 7.5625247195e-06 1.2399188494e-07
4.6855215246e+00 7.6101344792e-06 1.2097124347e-07
4.6982539201e+00 7.6551548581e-06 1.1778687174e-07
4.7109863155e+00 7.6975717327e-06 1.1452763840e-07
4.7237187110e+00 7.7373744927e-06 1.1130008943e-07
4.7364511064e+00 7.7745687223e-06 1.0822402640e-07
4.7491835019e+00 7.8091731642e-06 1.0542585891e-07
4.7619158973e+00 7.8412272861e-06 1.0303757540e-07
4.7746482928e+00 7.8707647175e-06 1.0118427997e-07
4.7873806882e+00 7.8978517005e-06 9.9979456053e-08
4.8001130837e+00 7.9225501621e-06 9.9501463695e-08
4.8128454791e+00 7.9449400708e-06 9.9801448310e-08
4.8255778745e+00 7.9651053636e-06 1.0087829946e-07
4.8383102700e+00 7.9831482798e-06 1.0269604579e-07
4.8510426654e+00 7.9991688240e-06 1.0517464437e-07
4.8637750609e+00 8.0132830240e-06 1.0821173596e-07
4.8765074563e+00 8.0255949572e-06 1.1168354419e-07
4.8892398518e+00 8.0362380182e-06 1.1545897145e-07
4.9019722472e+00 8.0453274994e-06 1.1941243956e-07
4.9147046427e+00 8.0529961245e-06 1.2342304479e-07
4.9274370381e+00 8.0593694189e-06 1.2738397530e-07
4.9401694336e+00 8.0645767473e-06 1.3119912565e-07
4.9529018290e+00 8.0687451627e-06 1.3478859607e-07
4.9656342245e+00 8.0720018843e-06 1.3808786342e-07
4.9783666199e+00 8.0744768386e-06 1.4104585181e-07
4.9910990154e+00 8.0762903986e-06 1.4362964331e-07
5.0038314108e+00 8.0775579620e-06 1.4581433842e-07
5.0165638063e+00 8.0784074826e-06 1.4759379025e-07
5.0292962017e+00 8.0789372987e-06 1.4897446675e-07
5.0420285972e+00 8.0792635612e-06 1.4996974302e-07
5.0547609926e+00 8.0794860425e-06 1.5061051503e-07
5.0674933880e+00 8.0797023469e-06 1.5093727308e-07
5.0802257835e+00 8.0800061340e-06 1.5100201320e-07
5.0929581789e+00 8.0804875846e-06 1.5086033804e-07
5.1056905744e+00 8.0812281278e-06 1.5057901578e-07
5.1184229698e+00 8.0823068091e-06 1.5023190944e-07
5.1311553653e+00 8.0837984732e-06 1.4989615348e-07
5.1438877607e+00 8.0857747194e-06 1.4965259338e-07
5.1566201562e+00 8.0883065076e-06 1.4957940659e-07
5.1693525516e+00 8.0914583929e-06 1.4975657450e-07
5.1820849471e+00 8.0952836845e-06 1.5025259246e-07
5.1948173425e+00 8.0998582369e-06 1.5113464489e-07
5.2075497380e+00 8.1052314971e-06 1.5245321770e-07
5.2202821334e+00 8.1114666192e-06 1.5425049901e-07
5.2330145289e+00 8.1186202946e-06 1.5655390155e-07
5.2457469243e+00 8.1267507572e-06 1.5937520766e-07
5.2584793198e+00 8.1359245728e-06 1.6271694817e-07
5.2712117152e+00 8.1461902090e-06 1.6656452511e-07
5.2839441107e+00 8.1576194466e-06 1.7089634007e-07
5.2966765061e+00 8.1702681211e-06 1.7567775121e-07
5.3094089015e+00 8.1842087955e-06 1.8087409091e-07
5.3221412970e+00 8.1995012489e-06 1.8643972643e-07
5.3348736924e+00 8.2162243334e-06 1.9232938711e-07
5.3476060879e+00 8.2344349389e-06 1.9849364305e-07
5.3603384833e+00 8.2542124817e-06 2.0488505918e-07
5.3730708788e+00 8.2756265465e-06 2.1144970675e-07
5.3858032742e+00 8.2987585447e-06 2.1814489597e-07
5.3985356697e+00 8.3236754708e-06 2.2491450096e-07
5.4112680651e+00 8.3504512287e-06 2.3171361937e-07
5.4240004606e+00 8.3791647604e-06 2.3849245821e-07
5.4367328560e+00 8.4098768043e-06 2.4520818273e-07
5.4494652515e+00 8.4426642350e-06 2.5181000588e-07
5.4621976469e+00 8.4775952143e-06 2.5825795733e-07
5.4749300424e+00 8.5147211263e-06 2.6450818945e-07
5.4876624378e+00 8.5541092242e-06 2.7051948079e-07
5.5003948333e+00 8.5958048194e-06 2.7625271841e-07
5.5131272287e+00 8.6398474029e-06 2.8167358585e-07
5.5258596242e+00 8.6862840072e-06 2.8674752431e-07
5.5385920196e+00 8.7351314181e-06 2.9144732164e-07
5.5513244150e+00 8.7864137538e-06 2.9574458846e-07
5.5640568105e+00 8.8401373745e-06 2.9962149353e-07
5.5767892059e+00 8.8962965990e-06 3.0305977127e-07
5.5895216014e+00 8.9548812920e-06 3.0605026128e-07
5.6022539968e+00 9.0158617165e-06 3.0858595807e-07
5.6149863923e+00 9.0792015102e-06 3.1066631536e-07
5.6277187877e+00 9.1448463245e-06 3.1229861913e-07
5.6404511832e+00 9.2127383412e-06 3.1349360834e-07
5.6531835786e+00 9.2827967587e-06 3.1426792213e-07
5.6659159741e+00 9.3549304256e-06 3.1464387735e-07
5.6786483695e+00 9.4290373666e-06 3.1464869534e-07
5.6913807650e+00 9.5050107023e-06 3.1431292028e-07
5.7041131604e+00 9.5827189134e-06 3.1367191859e-07
5.7168455559e+00 9.6620253311e-06 3.1276402880e-07
5.7295779513e+00 9.7427861922e-06 3.1162430015e-07
