# t(ps)   kx_avg(W/mK)   ky_avg(W/mK)   kz_avg(W/mK)   kiso_avg(W/mK)
# Averaged over 10 runs
4.225000 2.683676 8.569118 3.079428 4.777407
4.235000 2.749225 8.447891 3.435236 4.877451
4.245000 2.853007 8.673713 3.974338 5.167019
4.255000 2.984472 8.781831 4.636324 5.467542
4.265000 3.119930 8.456695 5.330221 5.635615
4.275000 3.222736 7.915999 5.940533 5.693089
4.285000 3.263316 7.656826 6.361553 5.760565
4.295000 3.239476 7.871079 6.533143 5.881233
4.305000 3.173910 8.230633 6.446035 5.950193
4.315000 3.092049 8.293302 6.122548 5.835966
4.325000 3.006134 8.037066 5.602276 5.548492
4.335000 2.921062 7.882841 4.947539 5.250481
4.345000 2.849065 8.180261 4.253731 5.094352
4.355000 2.810756 8.774270 3.637796 5.074274
4.365000 2.819113 9.173449 3.202798 5.065120
4.375000 2.865994 9.119778 3.008126 4.997966
4.385000 2.928886 8.881227 3.068490 4.959534
4.395000 2.990727 8.920806 3.370304 5.093946
4.405000 3.049605 9.336910 3.879711 5.422075
4.415000 3.108349 9.739675 4.535086 5.794370
4.425000 3.159411 9.708901 5.241488 6.036600
4.435000 3.185341 9.287386 5.884800 6.119176
4.445000 3.174956 8.923459 6.361150 6.153188
4.455000 3.135737 8.937044 6.601807 6.224863
4.465000 3.087478 9.150054 6.579683 6.272405
4.475000 3.045341 9.118913 6.302308 6.155521
4.485000 3.012100 8.684819 5.806192 5.834371
4.495000 2.985990 8.178980 5.159055 5.441341
4.505000 2.971921 8.037720 4.459879 5.156507
4.515000 2.980918 8.291148 3.823572 5.031879
4.525000 3.016514 8.536209 3.352604 4.968443
4.535000 3.064433 8.424568 3.112711 4.867237
4.545000 3.100745 8.083223 3.127751 4.770573
4.555000 3.111201 7.965945 3.389258 4.822135
4.565000 3.100640 8.312738 3.863227 5.092202
4.575000 3.083598 8.860974 4.487800 5.477457
4.585000 3.068898 9.149066 5.171348 5.796437
4.595000 3.057314 9.049793 5.804596 5.970568
4.605000 3.052282 8.900428 6.287754 6.080155
4.615000 3.065273 9.079718 6.555663 6.233551
4.625000 3.105978 9.542630 6.583808 6.410805
4.635000 3.167664 9.868344 6.375994 6.470667
4.645000 3.225544 9.759670 5.955303 6.313506
4.655000 3.253029 9.393919 5.371737 6.006228
4.665000 3.240161 9.205790 4.711123 5.719025
4.675000 3.195566 9.365578 4.083883 5.548342
4.685000 3.132868 9.578113 3.592975 5.434652
4.695000 3.060686 9.441788 3.305883 5.269453
4.705000 2.987892 8.939803 3.251854 5.059850
4.715000 2.932859 8.476831 3.434496 4.948062
4.725000 2.919555 8.414747 3.835453 5.056585
